Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data,Sempra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,75.27,,0.0
2024-03-31,71.83,$-3.81,0.0
2023-12-31,74.07,$-3.44,0.0
2023-09-30,66.87,$-4.86,0.0
2023-06-30,70.37,$-7.53,0.0
2023-03-31,73.06,$-7.06,0.0
2022-12-31,74.09,$-6.66,0.0
2022-09-30,71.36,$-4.13,0.0
2022-06-30,70.48,$-1.53,0.0
2022-03-31,78.85,$-1.70,0.0
2021-12-31,61.59,$-1.81,0.0
2021-09-30,58.41,$-1.65,0.0
2021-06-30,60.15,$-1.83,0.0
2021-03-31,60.2,$-3.51,0.0
2020-12-31,57.36,$-3.53,0.0
2020-09-30,52.87,$-3.09,0.0
2020-06-30,51.89,$-3.20,0.0
2020-03-31,49.58,$0.10,494.28
2019-12-31,65.78,$0.49,132.99
2019-09-30,63.69,$3.59,17.76
2019-06-30,58.48,$4.88,11.97
2019-03-31,53.56,$3.79,14.12
2018-12-31,45.69,$2.88,15.89
2018-09-30,47.64,$0.21,231.58
2018-06-30,48.25,$-0.60,0.0
2018-03-31,45.86,$-0.18,0.0
2017-12-31,43.73,$-0.13,0.0
2017-09-30,46.33,$-1.34,0.0
2017-06-30,45.11,$-0.81,0.0
2017-03-31,44.21,$-1.56,0.0
2016-12-31,39.97,$-2.27,0.0
2016-09-30,42.26,$-1.45,0.0
2016-06-30,44.64,$-1.25,0.0
2016-03-31,40.46,$-0.52,0.0
2015-12-31,36.29,$0.23,158.32
2015-09-30,37.07,$0.11,341.93
2015-06-30,37.63,$-0.47,0.0
2015-03-31,41.17,$-1.77,0.0
2014-12-31,41.79,$-1.62,0.0
2014-09-30,39.31,$-0.84,0.0
2014-06-30,38.81,$-1.34,0.0
2014-03-31,35.64,$-0.85,0.0
2013-12-31,32.84,$-0.44,0.0
2013-09-30,31.1,$-1.54,0.0
2013-06-30,29.49,$-1.06,0.0
2013-03-31,28.61,$-0.91,0.0
2012-12-31,25.19,$-1.75,0.0
2012-09-30,22.71,$-2.34,0.0
2012-06-30,24.03,$-2.58,0.0
2012-03-31,20.73,$-2.66,0.0
2011-12-31,18.82,$-2.02,0.0
2011-09-30,17.47,$-0.50,0.0
2011-06-30,17.77,$-0.32,0.0
2011-03-31,17.81,$0.32,55.12
2010-12-31,17.31,$0.80,21.73
2010-09-30,17.61,$-0.61,0.0
2010-06-30,15.21,$-0.33,0.0
2010-03-31,16.09,$-0.15,0.0
2009-12-31,17.91,$0.29,62.41
