KKR Price to Free Cash Flow Ratio Historical Data,KKR Price to Free Cash Flow Ratio Historical Data,KKR Price to Free Cash Flow Ratio Historical Data,KKR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,108.82,,52.32
2024-03-31,100.58,$2.08,48.36
2023-12-31,82.85,$-1.76,0.0
2023-09-30,61.6,$-4.81,0.0
2023-06-30,56.0,$-7.56,0.0
2023-03-31,52.52,$-10.89,0.0
2022-12-31,46.42,$-7.16,0.0
2022-09-30,43.0,$-11.08,0.0
2022-06-30,46.16,$-14.02,0.0
2022-03-31,58.14,$-9.81,0.0
2021-12-31,73.89,$-11.50,0.0
2021-09-30,60.27,$-8.95,0.0
2021-06-30,58.52,$-7.64,0.0
2021-03-31,48.13,$-8.03,0.0
2020-12-31,39.78,$-10.46,0.0
2020-09-30,33.62,$-11.22,0.0
2020-06-30,30.12,$-9.66,0.0
2020-03-31,22.77,$-13.41,0.0
2019-12-31,28.19,$-10.56,0.0
2019-09-30,25.84,$-11.33,0.0
2019-06-30,24.2,$-12.01,0.0
2019-03-31,22.38,$-10.15,0.0
2018-12-31,18.6,$-14.44,0.0
2018-09-30,25.7,$-11.42,0.0
2018-06-30,23.28,$-11.07,0.0
2018-03-31,18.87,$-8.66,0.0
2017-12-31,19.43,$-6.98,0.0
2017-09-30,18.59,$-7.18,0.0
2017-06-30,16.86,$-4.84,0.0
2017-03-31,16.38,$-3.83,0.0
2016-12-31,13.7,$-3.11,0.0
2016-09-30,12.55,$-4.54,0.0
2016-06-30,10.74,$-4.14,0.0
2016-03-31,12.64,$-3.30,0.0
2015-12-31,13.25,$0.26,51.21
2015-09-30,13.99,$3.49,4.01
2015-06-30,18.73,$0.59,31.8
2015-03-31,18.32,$7.91,2.32
2014-12-31,18.38,$3.22,5.71
2014-09-30,17.29,$6.08,2.84
2014-06-30,18.33,$5.25,3.49
2014-03-31,16.88,$0.40,41.87
2013-12-31,17.64,$8.54,2.07
2013-09-30,14.76,$12.25,1.21
2013-06-30,13.82,$21.32,0.65
2013-03-31,13.4,$28.11,0.48
2012-12-31,10.17,$24.26,0.42
2012-09-30,9.93,$12.81,0.78
2012-06-30,8.39,$-0.24,0.0
2012-03-31,9.55,$-6.91,0.0
2011-12-31,8.09,$-1.02,0.0
2011-09-30,6.51,$1.83,3.56
2011-06-30,10.11,$13.48,0.75
