Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,258.52,,28.46
2024-03-31,290.01,$9.08,31.93
2023-12-31,307.69,$9.83,31.3
2023-09-30,281.94,$10.50,26.84
2023-06-30,323.63,$6.86,47.21
2023-03-31,287.02,$7.58,37.86
2022-12-31,250.93,$6.63,37.86
2022-09-30,208.64,$5.84,35.7
2022-06-30,192.48,$4.14,46.51
2022-03-31,268.95,$5.07,53.0
2021-12-31,333.66,$6.59,50.6
2021-09-30,280.3,$9.74,28.77
2021-06-30,271.73,$10.97,24.76
2021-03-31,251.18,$10.03,25.05
2020-12-31,236.32,$9.82,24.06
2020-09-30,207.01,$8.76,23.63
2020-06-30,198.93,$9.92,20.04
2020-03-31,140.22,$9.89,14.18
2019-12-31,187.36,$9.10,20.59
2019-09-30,151.48,$8.83,17.15
2019-06-30,149.64,$7.50,19.95
2019-03-31,159.34,$7.39,21.57
2018-12-31,135.91,$9.26,14.67
2018-09-30,168.41,$9.26,18.19
2018-06-30,148.5,$7.31,20.3
2018-03-31,154.82,$6.89,22.49
2017-12-31,173.73,$6.18,28.12
2017-09-30,157.0,$6.88,22.83
2017-06-30,142.02,$8.17,17.38
2017-03-31,135.88,$7.88,17.25
2016-12-31,116.7,$7.34,15.9
2016-09-30,105.59,$6.34,16.66
2016-06-30,98.5,$6.82,14.44
2016-03-31,96.97,$6.86,14.14
2015-12-31,86.8,$7.29,11.91
2015-09-30,85.25,$7.86,10.84
2015-06-30,104.13,$7.61,13.69
2015-03-31,96.4,$7.55,12.77
2014-12-31,91.91,$6.86,13.4
2014-09-30,90.28,$6.39,14.13
2014-06-30,102.3,$6.44,15.89
2014-03-31,101.3,$6.43,15.76
2013-12-31,95.63,$6.33,15.1
2013-09-30,86.11,$6.17,13.96
2013-06-30,66.59,$6.52,10.21
2013-03-31,68.76,$6.25,11.0
2012-12-31,66.54,$6.61,10.07
2012-09-30,54.76,$4.06,13.5
2012-06-30,51.67,$2.61,19.81
2012-03-31,62.0,$2.31,26.83
2011-12-31,56.78,$2.15,26.46
2011-09-30,43.07,$3.64,11.83
2011-06-30,66.28,$2.83,23.4
2011-03-31,72.01,$2.29,31.45
2010-12-31,54.34,$2.05,26.5
2010-09-30,46.53,$2.81,16.54
2010-06-30,36.75,$3.31,11.1
2010-03-31,41.99,$3.71,11.31
2009-12-31,34.81,$3.81,9.14
