Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,264.6,,26.55
2024-03-31,250.04,$9.97,25.09
2023-12-31,224.33,$8.38,26.76
2023-09-30,226.87,$8.04,28.2
2023-06-30,218.03,$7.00,31.14
2023-03-31,189.45,$1.36,138.84
2022-12-31,186.16,$0.39,478.93
2022-09-30,168.63,$-0.07,0.0
2022-06-30,160.12,$-0.73,0.0
2021-12-31,165.59,$6.10,27.16
2021-09-30,144.65,$13.15,11.0
2021-06-30,135.87,$11.82,11.5
2021-03-31,120.62,$12.55,9.61
2020-12-31,119.12,$15.01,7.93
2022-03-31,170.95,$7.50,22.79
2020-09-30,101.27,$8.73,11.6
2020-06-30,93.11,$7.55,12.33
2020-03-31,77.49,$6.66,11.63
2019-12-31,90.14,$5.54,16.28
2019-09-30,84.39,$4.69,17.98
2019-06-30,82.13,$3.90,21.04
2019-03-31,72.87,$-1.26,0.0
2018-12-31,68.4,$0.70,97.09
2018-09-30,68.71,$1.14,60.28
2018-06-30,59.92,$1.43,41.98
2017-12-31,57.39,$3.98,14.41
2017-09-30,55.49,$6.50,8.54
2017-06-30,51.27,$3.50,14.67
2017-03-31,50.29,$3.49,14.43
2016-12-31,45.9,$3.50,13.13
2018-03-31,62.7,$-0.06,0.0
2016-09-30,44.6,$3.24,13.77
2016-06-30,41.42,$3.29,12.6
2016-03-31,38.4,$3.03,12.67
2015-12-31,35.01,$3.39,10.33
2015-09-30,35.0,$2.51,13.93
2015-06-30,39.76,$1.39,28.58
2015-03-31,39.0,$2.40,16.25
2014-12-31,38.97,$2.30,16.93
2014-09-30,37.27,$1.78,20.98
2014-06-30,37.99,$3.00,12.65
2014-03-31,38.49,$2.28,16.87
2013-12-31,37.67,$2.14,17.63
2013-09-30,34.78,$2.82,12.32
2013-06-30,34.52,$2.38,14.52
2013-03-31,32.38,$3.24,9.98
2012-12-31,26.91,$2.38,11.29
2012-09-30,27.56,$1.94,14.22
2012-06-30,26.73,$1.75,15.23
2012-03-31,26.97,$-0.36,0.0
2011-12-31,25.0,$0.28,89.87
2011-09-30,19.47,$0.60,32.64
2011-06-30,20.87,$0.69,30.41
2010-12-31,20.79,$1.94,10.69
2010-09-30,18.65,$3.86,4.83
2010-06-30,17.03,$2.60,6.55
2010-03-31,16.94,$2.96,5.72
2009-12-31,15.33,$4.02,3.81
2011-03-31,21.97,$1.60,13.73
