Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data,Northrop Grumman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,432.09,,31.14
2024-03-31,476.56,$13.88,34.34
2023-12-31,464.2,$13.82,33.6
2023-09-30,434.76,$13.88,31.33
2023-06-30,448.23,$15.46,29.0
2023-03-31,452.12,$8.49,53.24
2022-12-31,532.31,$10.42,51.1
2022-09-30,457.36,$4.04,113.33
2022-06-30,463.72,$2.65,175.26
2022-03-31,431.76,$10.88,39.68
2021-12-31,372.26,$13.90,26.79
2021-09-30,344.84,$16.75,20.59
2021-06-30,346.49,$17.25,20.09
2021-03-31,307.24,$24.29,12.65
2020-12-31,287.85,$18.44,15.61
2020-09-30,296.61,$22.93,12.94
2020-06-30,287.84,$21.71,13.26
2020-03-31,282.04,$-4.44,0.0
2019-12-31,319.49,$14.04,22.75
2019-09-30,346.82,$5.36,64.74
2019-06-30,297.93,$4.02,74.15
2018-12-31,223.9,$14.77,15.16
2018-09-30,288.83,$20.40,14.16
2018-06-30,278.9,$10.36,26.92
2018-03-31,315.3,$10.62,29.7
2017-12-31,276.29,$15.35,18.0
2019-03-31,247.51,$-4.98,0.0
2017-09-30,258.16,$8.77,29.45
2017-06-30,229.48,$8.01,28.67
2017-03-31,211.79,$8.72,24.29
2016-12-31,206.34,$10.49,19.67
2016-09-30,189.13,$11.54,16.39
2016-06-30,195.67,$10.57,18.51
2016-03-31,173.47,$10.72,16.18
2015-12-31,164.82,$8.83,18.68
2015-09-30,144.25,$6.71,21.5
2015-06-30,137.23,$8.27,16.6
2015-03-31,138.56,$7.83,17.69
2014-12-31,126.34,$9.58,13.19
2014-09-30,112.39,$8.24,13.65
2014-06-30,101.48,$8.02,12.66
2014-03-31,104.06,$7.13,14.6
2013-12-31,96.17,$9.06,10.62
2013-09-30,79.51,$8.34,9.53
2013-06-30,68.66,$7.62,9.01
2013-03-31,57.73,$9.67,5.97
2012-12-31,55.16,$9.11,6.05
2012-09-30,53.76,$9.59,5.61
2012-06-30,51.21,$9.56,5.35
2012-03-31,48.57,$5.86,8.29
2011-12-31,46.12,$5.76,8.0
2011-09-30,40.76,$5.31,7.68
2011-06-30,53.66,$5.21,10.3
2011-03-31,48.15,$7.46,6.46
2010-12-31,44.84,$6.20,7.23
2010-09-30,41.65,$5.32,7.83
2010-06-30,37.08,$3.73,9.94
2010-03-31,44.32,$4.07,10.89
2009-12-31,37.48,$5.13,7.3
