Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,632.15,,35.45
2024-04-30,625.62,$17.83,35.09
2024-01-31,630.45,$16.51,38.19
2023-10-31,493.53,$15.39,32.07
2023-07-31,509.34,$16.91,30.12
2023-04-30,441.13,$15.14,29.14
2023-01-31,419.26,$14.16,29.61
2022-10-31,423.21,$13.40,31.58
2022-07-31,450.74,$12.89,34.98
2022-04-30,413.08,$13.83,29.88
2022-01-31,546.94,$10.95,49.95
2021-10-31,615.9,$11.79,52.23
2021-07-31,520.77,$11.45,45.49
2021-04-30,404.53,$10.42,38.83
2021-01-31,354.04,$9.09,38.95
2020-10-31,307.93,$9.28,33.2
2020-07-31,299.28,$8.63,34.7
2020-04-30,263.11,$7.09,37.11
2020-01-31,272.84,$8.23,33.15
2019-10-31,250.1,$8.27,30.26
2019-07-31,268.8,$8.22,32.72
2019-04-30,242.93,$8.56,28.38
2019-01-31,208.45,$7.69,27.1
2018-10-31,203.33,$7.44,27.32
2018-07-31,196.39,$7.62,25.78
2018-04-30,177.36,$6.50,27.3
2018-01-31,160.78,$5.79,27.76
2017-10-31,144.27,$5.87,24.56
2017-07-31,130.73,$5.25,24.92
2017-04-30,118.98,$5.15,23.1
2017-01-31,112.36,$4.36,25.75
2016-10-31,102.74,$3.36,30.57
2016-07-31,104.54,$3.54,29.53
2016-04-30,94.78,$4.16,22.81
2016-01-31,89.46,$3.19,28.07
2015-10-31,90.97,$4.30,21.16
2015-07-31,98.43,$4.64,21.2
2015-04-30,93.15,$4.93,18.9
2015-01-31,80.4,$4.62,17.41
2014-10-31,81.27,$4.55,17.87
2014-07-31,75.47,$4.33,17.43
2014-04-30,69.58,$4.08,17.07
2014-01-31,67.11,$4.05,16.57
2013-10-31,65.26,$3.77,17.32
2013-07-31,58.25,$3.86,15.07
2013-04-30,54.2,$3.82,14.18
2013-01-31,56.54,$3.27,17.28
2012-10-31,53.72,$3.26,16.47
2012-07-31,52.3,$3.48,15.05
2012-04-30,52.12,$3.69,14.11
2012-01-31,50.62,$3.12,16.25
2011-10-31,48.0,$2.96,16.19
2011-07-31,41.63,$2.65,15.72
2011-04-30,49.53,$2.68,18.49
2011-01-31,41.84,$2.27,18.4
2010-10-31,42.77,$2.38,17.98
2010-07-31,35.44,$2.67,13.27
2010-04-30,32.26,$5.69,5.67
2010-01-31,26.4,$-0.19,0.0
2009-10-31,25.92,$1.37,18.89
