Aon Price to Free Cash Flow Ratio Historical Data,Aon Price to Free Cash Flow Ratio Historical Data,Aon Price to Free Cash Flow Ratio Historical Data,Aon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,297.46,,19.75
2024-03-31,333.72,$15.06,22.16
2023-12-31,291.02,$15.53,18.74
2023-09-30,324.22,$14.17,22.89
2023-06-30,345.2,$14.01,24.64
2023-03-31,315.29,$13.92,22.65
2022-12-31,300.14,$14.18,21.17
2022-09-30,267.87,$13.59,19.7
2022-06-30,269.16,$8.40,32.03
2022-03-31,324.37,$8.75,37.09
2021-12-31,298.85,$9.04,33.04
2021-09-30,283.69,$8.28,34.27
2021-06-30,236.56,$12.09,19.57
2021-03-31,227.53,$12.48,18.24
2020-12-31,208.43,$11.33,18.39
2020-09-30,203.02,$10.68,19.01
2020-06-30,189.13,$10.48,18.05
2020-03-31,161.65,$7.81,20.69
2019-12-31,203.61,$6.69,30.43
2019-09-30,188.79,$6.78,27.85
2019-06-30,187.78,$5.68,33.04
2019-03-31,165.69,$5.54,29.88
2018-12-31,140.74,$5.85,24.04
2018-09-30,148.51,$4.47,33.24
2018-06-30,132.1,$1.74,75.87
2018-03-31,134.76,$1.72,78.27
2017-12-31,128.36,$2.11,60.73
2017-09-30,139.6,$3.84,36.35
2017-06-30,126.71,$7.04,17.99
2017-03-31,112.78,$7.94,14.21
2016-12-31,105.66,$8.03,13.16
2016-09-30,106.26,$7.68,13.84
2016-06-30,102.87,$7.43,13.84
2016-03-31,98.06,$6.41,15.29
2015-12-31,86.26,$6.37,13.53
2015-09-30,82.63,$6.59,12.55
2015-06-30,92.69,$5.99,15.47
2015-03-31,89.1,$6.23,14.3
2014-12-31,87.67,$5.19,16.88
2014-09-30,80.8,$4.62,17.49
2014-06-30,82.79,$4.72,17.54
2014-03-31,77.23,$4.64,16.66
2013-12-31,76.7,$4.83,15.87
2013-09-30,67.91,$4.03,16.83
2013-06-30,58.56,$3.88,15.11
2013-03-31,55.8,$3.69,15.1
2012-12-31,50.32,$3.46,14.55
2012-09-30,47.18,$2.40,19.63
2012-06-30,42.07,$1.76,23.87
2012-03-31,43.99,$1.74,25.32
2011-12-31,41.83,$2.28,18.35
2011-09-30,37.41,$1.50,24.86
2011-06-30,45.57,$0.08,547.09
2011-03-31,46.92,$0.78,60.3
2010-12-31,40.62,$2.02,20.08
2010-09-30,34.4,$3.32,10.37
2010-06-30,32.52,$3.96,8.21
2010-03-31,37.29,$0.95,39.41
2009-12-31,33.35,$1.24,26.96
