Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data,Stryker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,342.64,,41.92
2023-12-31,298.79,$8.17,36.56
2023-09-30,271.93,$9.80,27.76
2023-06-30,302.77,$7.54,40.13
2023-03-31,282.6,$8.12,34.81
2022-12-31,241.38,$8.31,29.06
2024-03-31,357.87,$3.29,108.64
2022-09-30,199.36,$5.28,37.76
2022-06-30,195.14,$5.41,36.09
2022-03-31,261.35,$6.41,40.74
2021-12-31,260.75,$7.16,36.41
2021-09-30,256.48,$7.90,32.48
2021-06-30,252.01,$7.77,32.43
2021-03-31,235.77,$7.13,33.09
2020-12-31,236.57,$7.34,32.25
2020-09-30,200.64,$5.93,33.82
2020-06-30,173.02,$5.19,33.35
2020-03-31,159.35,$4.73,33.67
2019-12-31,200.23,$4.06,49.33
2019-09-30,205.73,$4.99,41.23
2019-06-30,195.06,$5.02,38.82
2019-03-31,186.93,$5.40,34.62
2018-12-31,147.95,$5.36,27.61
2018-09-30,167.15,$4.31,38.77
2018-06-30,158.43,$2.89,54.86
2018-03-31,150.56,$-0.77,0.0
2017-12-31,144.44,$-1.90,0.0
2017-09-30,132.08,$-0.16,0.0
2017-06-30,128.68,$1.01,127.58
2016-12-31,110.4,$3.76,29.32
2016-09-30,106.89,$6.27,17.06
2016-06-30,109.67,$3.26,33.68
2016-03-31,97.87,$0.72,136.2
2015-12-31,84.48,$1.09,77.3
2017-03-31,121.7,$0.13,944.86
2015-09-30,85.19,$1.71,49.83
2015-06-30,86.2,$4.49,19.19
2015-03-31,82.92,$4.55,18.21
2014-12-31,84.47,$4.05,20.87
2014-09-30,72.05,$4.04,17.82
2014-06-30,74.95,$4.31,17.38
2014-03-31,72.16,$4.30,16.78
2013-12-31,66.3,$4.43,14.98
2013-09-30,59.4,$4.24,14.0
2013-06-30,56.62,$4.07,13.93
2013-03-31,56.88,$4.31,13.19
2012-12-31,47.6,$3.78,12.6
2012-09-30,48.1,$3.79,12.68
2012-06-30,47.43,$3.47,13.68
2012-03-31,47.57,$2.70,17.63
2011-12-31,42.46,$3.27,12.97
2011-09-30,40.09,$3.00,13.37
2011-06-30,49.73,$3.06,16.28
2011-03-31,51.37,$3.49,14.72
2010-12-31,45.23,$3.57,12.67
2010-09-30,42.02,$3.65,11.5
2010-06-30,41.9,$4.29,9.77
2010-03-31,47.76,$3.33,14.33
2009-12-31,41.93,$3.33,12.58
