PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,105.96,,13.24
2024-03-31,123.55,$8.00,15.44
2023-12-31,97.13,$6.75,14.4
2023-09-30,81.59,$6.99,11.67
2023-06-30,80.02,$5.79,13.82
2023-03-31,69.78,$5.26,13.27
2022-12-31,62.68,$4.44,14.12
2022-09-30,51.35,$3.77,13.61
2022-06-30,50.34,$3.06,16.47
2022-03-31,53.62,$2.52,21.32
2021-12-31,53.54,$2.79,19.2
2021-09-30,46.88,$2.16,21.71
2021-06-30,52.79,$3.17,16.66
2021-03-31,54.76,$4.39,12.48
2020-12-31,50.68,$3.74,13.54
2020-09-30,49.52,$3.92,12.64
2020-06-30,43.31,$3.38,12.82
2020-03-31,35.2,$2.18,16.18
2019-12-31,45.36,$2.84,15.98
2019-09-30,38.87,$3.12,12.47
2019-06-30,39.59,$3.15,12.57
2019-03-31,37.47,$3.46,10.82
2018-12-31,31.27,$3.21,9.74
2018-09-30,35.88,$2.82,12.74
2018-06-30,32.46,$2.70,12.02
2018-03-31,34.52,$2.53,13.66
2017-12-31,36.94,$2.53,14.59
2017-09-30,36.83,$2.38,15.47
2017-06-30,33.49,$0.62,53.65
2017-03-31,33.95,$1.10,30.89
2016-12-31,32.17,$1.48,21.79
2016-09-30,29.21,$1.39,21.03
2016-06-30,25.67,$3.09,8.32
2016-03-31,26.95,$2.93,9.21
2015-12-31,23.24,$2.35,9.88
2015-09-30,24.71,$4.35,5.68
2015-06-30,30.12,$4.61,6.53
2015-03-31,29.71,$4.35,6.83
2014-12-31,31.89,$4.16,7.67
2014-09-30,26.19,$2.02,12.99
2014-06-30,28.83,$1.39,20.76
2014-03-31,30.84,$1.62,19.08
2013-12-31,26.97,$1.59,16.91
2013-09-30,24.89,$-0.44,0.0
2013-06-30,23.91,$0.15,157.5
2013-03-31,22.44,$-0.02,0.0
2012-12-31,19.99,$0.08,266.11
2012-09-30,17.3,$-0.08,0.0
2012-06-30,16.86,$-0.25,0.0
2012-03-31,20.04,$-0.09,0.0
2011-12-31,15.97,$0.52,30.7
2011-09-30,14.08,$3.01,4.68
2011-06-30,21.17,$3.65,5.8
2011-03-31,21.64,$3.51,6.17
2010-12-31,23.64,$3.25,7.28
2010-09-30,19.71,$3.78,5.22
2010-06-30,16.28,$3.29,4.95
2010-03-31,17.66,$3.55,4.98
2009-12-31,14.75,$3.23,4.56
