Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,61.35,,6.33
2024-03-31,62.29,$9.70,6.42
2023-12-31,70.95,$5.47,12.97
2023-09-30,73.65,$0.93,79.19
2023-06-30,73.38,$6.44,11.4
2023-03-31,76.89,$2.84,27.08
2022-12-31,89.13,$3.83,23.24
2022-09-30,76.9,$4.96,15.5
2022-06-30,73.84,$2.98,24.77
2022-03-31,85.5,$6.87,12.44
2021-12-31,63.69,$9.59,6.64
2021-09-30,56.23,$5.83,9.64
2021-06-30,56.45,$0.30,191.28
2021-03-31,52.8,$-3.97,0.0
2020-12-31,46.38,$-5.68,0.0
2020-09-30,42.46,$-6.15,0.0
2020-06-30,36.15,$-7.06,0.0
2020-03-31,31.55,$-8.66,0.0
2019-12-31,41.24,$-11.12,0.0
2019-09-30,36.24,$-9.86,0.0
2019-06-30,35.67,$-9.12,0.0
2019-03-31,37.39,$-7.20,0.0
2018-12-31,35.22,$-9.92,0.0
2018-09-30,42.9,$-12.79,0.0
2018-06-30,38.85,$-14.13,0.0
2018-03-31,36.49,$-16.02,0.0
2017-12-31,33.46,$-12.26,0.0
2017-09-30,35.2,$-20.76,0.0
2017-06-30,34.01,$-15.63,0.0
2017-03-31,37.55,$-15.16,0.0
2016-12-31,36.96,$-12.50,0.0
2016-09-30,33.91,$1.80,18.81
2016-06-30,34.25,$-0.36,0.0
2016-03-31,28.77,$0.98,29.46
2015-12-31,28.79,$0.93,30.82
2015-09-30,32.3,$0.78,41.53
2015-06-30,37.35,$5.26,7.1
2015-03-31,36.52,$6.68,5.46
2014-12-31,39.83,$6.17,6.45
2014-09-30,38.96,$5.96,6.54
2014-06-30,33.47,$4.51,7.42
2014-03-31,32.75,$5.51,5.94
2013-12-31,32.56,$6.51,5.01
2013-09-30,27.51,$9.60,2.87
2013-06-30,25.19,$6.48,3.89
2013-03-31,24.92,$4.29,5.81
2012-12-31,20.12,$2.44,8.26
2012-09-30,19.82,$-0.60,0.0
2012-06-30,21.39,$2.19,9.78
2012-03-31,22.81,$9.85,2.32
2011-12-31,20.49,$3.32,6.18
2011-09-30,17.67,$-2.34,0.0
2011-06-30,21.35,$-9.74,0.0
2011-03-31,25.38,$-15.51,0.0
2010-12-31,21.11,$-8.92,0.0
2010-09-30,22.28,$-1.10,0.0
2010-03-31,19.97,$-3.75,0.0
2009-12-31,21.52,$0.72,29.98
2009-09-30,20.0,$2.33,8.57
