Iron Mountain Price to Free Cash Flow Ratio Historical Data,Iron Mountain Price to Free Cash Flow Ratio Historical Data,Iron Mountain Price to Free Cash Flow Ratio Historical Data,Iron Mountain Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,88.86,,0.0
2024-03-31,79.62,$-1.07,0.0
2023-12-31,68.89,$-0.59,0.0
2023-09-30,57.98,$-0.38,0.0
2023-06-30,54.85,$-0.03,0.0
2023-03-31,50.53,$0.76,66.3
2022-12-31,47.05,$0.76,61.78
2022-09-30,41.04,$0.86,47.78
2022-06-30,44.93,$0.81,55.73
2022-03-31,50.47,$1.34,37.67
2021-12-31,47.06,$1.46,32.13
2021-09-30,38.58,$3.24,11.9
2021-06-30,37.07,$4.04,9.18
2021-03-31,31.99,$2.11,15.17
2020-12-31,25.06,$3.18,7.89
2020-09-30,22.3,$1.13,19.82
2020-06-30,21.27,$1.10,19.36
2019-12-31,24.88,$1.53,16.28
2019-09-30,24.8,$1.61,15.37
2019-06-30,23.53,$1.73,13.63
2019-03-31,26.15,$1.81,14.48
2018-12-31,23.49,$1.96,11.99
2018-09-30,24.59,$1.41,17.41
2018-06-30,24.53,$1.45,16.92
2018-03-31,22.63,$1.19,19.1
2017-12-31,25.53,$1.45,17.6
2017-09-30,25.92,$1.29,20.03
2017-06-30,22.58,$1.34,16.83
2017-03-31,23.07,$0.98,23.44
2016-12-31,20.67,$0.90,22.9
2016-09-30,23.5,$0.68,34.67
2016-06-30,24.63,$0.81,30.38
2020-03-31,18.98,$1.11,17.15
2016-03-31,20.69,$1.52,13.59
2015-12-31,16.22,$1.20,13.56
2015-09-30,18.31,$1.14,16.13
2015-06-30,18.0,$0.86,20.97
2015-03-31,20.87,$0.64,32.41
2014-12-31,21.83,$0.79,27.62
2014-09-30,18.44,$0.69,26.8
2014-06-30,20.02,$0.98,20.47
2014-03-31,15.57,$0.92,16.88
2013-12-31,17.14,$1.16,14.83
2013-09-30,15.12,$1.00,15.09
2013-06-30,14.75,$0.79,18.65
2013-03-31,19.93,$1.04,19.14
2012-12-31,16.92,$1.11,15.29
2012-09-30,16.45,$1.53,10.75
2012-06-30,15.77,$2.01,7.86
2012-03-31,13.66,$0.29,46.96
2011-12-31,14.49,$0.74,19.63
2011-09-30,14.75,$0.63,23.32
2011-06-30,15.78,$0.45,35.35
2010-12-31,11.42,$1.93,5.93
2010-09-30,10.13,$2.66,3.81
2010-06-30,10.15,$2.36,4.31
2010-03-31,12.35,$2.40,5.16
2009-12-31,10.24,$2.42,4.23
2011-03-31,14.35,$1.41,10.21
