McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data,McKesson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,603.08,,22.3
2024-03-31,536.85,$27.05,19.85
2023-12-31,462.43,$20.13,22.97
2023-09-30,434.33,$30.14,14.41
2023-06-30,426.16,$30.88,13.8
2023-03-31,354.6,$32.36,10.96
2022-12-31,373.02,$27.94,13.35
2022-09-30,337.49,$25.61,13.18
2022-06-30,323.45,$-6.12,0.0
2022-03-31,303.11,$20.63,14.69
2021-12-31,245.69,$9.57,25.67
2021-09-30,196.65,$6.52,30.14
2021-03-31,191.09,$24.29,7.87
2020-12-31,169.99,$37.24,4.57
2020-09-30,145.22,$19.42,7.48
2020-06-30,149.19,$12.51,11.93
2020-03-31,131.19,$18.72,7.01
2021-06-30,188.19,$-14.70,0.0
2019-12-31,133.77,$15.55,8.6
2019-09-30,131.79,$15.41,8.55
2019-06-30,129.22,$22.75,5.68
2019-03-31,112.2,$17.63,6.36
2018-12-31,105.56,$12.19,8.66
2018-09-30,126.35,$13.20,9.57
2018-06-30,126.68,$9.12,13.89
2018-03-31,133.46,$18.01,7.41
2017-12-31,147.41,$9.98,14.78
2017-09-30,144.86,$12.13,11.95
2017-06-30,154.81,$14.02,11.04
2017-03-31,139.26,$18.75,7.43
2016-12-31,131.68,$24.58,5.36
2016-09-30,156.03,$20.49,7.62
2016-06-30,174.38,$19.09,9.14
2016-03-31,146.7,$12.85,11.41
2015-12-31,183.67,$8.93,20.57
2015-09-30,172.05,$15.53,11.08
2015-06-30,208.75,$12.06,17.3
2015-03-31,209.83,$10.92,19.21
2014-12-31,192.35,$14.44,13.32
2014-09-30,180.18,$8.58,21.0
2014-06-30,172.14,$9.29,18.53
2014-03-31,163.02,$11.66,13.98
2013-12-31,148.81,$9.37,15.88
2013-09-30,118.12,$10.10,11.7
2013-06-30,105.21,$13.99,7.52
2013-03-31,99.02,$8.72,11.36
2012-12-31,88.76,$4.64,19.14
2012-09-30,78.59,$6.75,11.64
2012-06-30,85.45,$6.69,12.78
2012-03-31,79.81,$10.17,7.85
2011-12-31,70.68,$8.88,7.96
2011-09-30,65.78,$9.74,6.76
2011-06-30,75.5,$6.65,11.36
2011-03-31,71.18,$7.41,9.6
2010-12-31,63.23,$5.94,10.65
2010-09-30,55.35,$4.49,12.32
2010-06-30,59.98,$5.70,10.52
2010-03-31,58.54,$7.10,8.25
2009-12-31,55.56,$8.74,6.35
