Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data,Capital One Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,136.77,,2.67
2023-12-31,129.99,$51.16,2.54
2023-09-30,95.67,$53.05,1.8
2023-06-30,107.24,$41.89,2.56
2023-03-31,93.64,$40.68,2.3
2022-12-31,90.08,$32.74,2.75
2022-09-30,88.84,$22.94,3.87
2022-06-30,99.87,$20.55,4.86
2022-03-31,125.2,$-9.45,0.0
2021-12-31,137.83,$1.00,138.32
2021-09-30,153.27,$-3.21,0.0
2021-06-30,145.33,$0.35,413.7
2020-12-31,92.33,$34.84,2.65
2020-09-30,67.03,$55.50,1.21
2020-06-30,58.3,$52.95,1.1
2020-03-31,46.66,$51.79,0.9
2019-12-31,94.87,$48.76,1.95
2021-03-31,119.23,$28.37,4.2
2019-09-30,83.53,$32.85,2.54
2019-06-30,82.94,$32.70,2.54
2019-03-31,74.34,$32.16,2.31
2018-12-31,68.43,$25.05,2.73
2018-09-30,85.57,$25.30,3.38
2018-06-30,82.49,$24.31,3.39
2018-03-31,85.64,$23.77,3.6
2017-12-31,88.62,$26.94,3.29
2017-09-30,75.0,$22.29,3.36
2017-06-30,72.84,$23.04,3.16
2017-03-31,76.03,$20.24,3.76
2016-12-31,76.19,$21.73,3.51
2016-09-30,62.41,$20.27,3.08
2016-06-30,54.85,$22.14,2.48
2016-03-31,59.51,$21.72,2.74
2015-12-31,61.57,$17.51,3.52
2015-09-30,61.55,$18.27,3.37
2015-06-30,74.29,$14.77,5.03
2015-03-31,66.24,$11.49,5.77
2014-12-31,69.1,$15.39,4.49
2014-09-30,68.08,$18.07,3.77
2014-06-30,68.63,$15.68,4.38
2024-03-31,148.27,$20.43,7.26
2014-03-31,63.86,$17.18,3.72
2013-12-31,63.13,$15.60,4.05
2013-09-30,56.4,$14.22,3.97
2013-06-30,51.32,$16.96,3.03
2013-03-31,44.67,$16.19,2.76
2012-12-31,47.05,$15.82,2.97
2012-09-30,46.26,$18.10,2.56
2012-06-30,44.32,$12.92,3.43
2012-03-31,45.15,$14.91,3.03
2011-12-31,34.22,$15.55,2.2
2011-09-30,32.03,$12.33,2.6
2011-06-30,41.71,$15.98,2.61
2011-03-31,41.9,$16.76,2.5
2010-12-31,34.29,$11.22,3.06
2010-09-30,31.82,$10.71,2.97
2010-06-30,32.39,$6.71,4.83
2009-12-31,30.73,$4.27,7.2
2009-09-30,28.6,$10.17,2.81
