Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,153.28,,19.15
2024-02-29,169.31,$8.01,21.15
2023-11-30,153.94,$7.44,20.7
2023-08-31,151.54,$2.18,69.39
2023-05-31,153.25,$3.07,49.91
2023-02-28,137.13,$3.65,37.61
2022-11-30,139.82,$2.22,63.11
2022-05-31,116.6,$6.76,17.25
2022-02-28,134.29,$9.48,14.16
2021-11-30,126.61,$9.36,13.52
2021-08-31,137.3,$9.61,14.28
2021-05-31,129.54,$10.07,12.87
2022-08-31,116.59,$6.77,17.23
2021-02-28,123.46,$1.86,66.55
2020-11-30,96.79,$2.95,32.79
2020-08-31,77.46,$2.12,36.59
2020-05-31,68.69,$1.95,35.31
2020-02-29,87.14,$6.21,14.02
2019-11-30,105.05,$6.31,16.64
2019-08-31,106.47,$6.72,15.85
2019-05-31,101.64,$6.40,15.87
2019-02-28,97.33,$5.81,16.77
2018-11-30,95.29,$5.44,17.53
2018-08-31,99.35,$4.91,20.22
2018-05-31,74.33,$4.80,15.5
2018-02-28,77.83,$4.56,17.05
2017-11-30,70.73,$4.46,15.85
2017-08-31,68.32,$4.59,14.9
2017-05-31,73.5,$4.81,15.27
2017-02-28,61.31,$5.04,12.17
2016-11-30,59.71,$5.21,11.46
2016-08-31,49.76,$6.21,8.01
2016-05-31,54.27,$6.91,7.85
2016-02-29,50.71,$7.75,6.54
2015-11-30,44.24,$7.45,5.93
2015-08-31,47.44,$6.46,7.34
2015-05-31,45.37,$4.85,9.35
2015-02-28,43.94,$2.57,17.07
2014-11-30,38.77,$1.53,25.38
2014-08-31,31.84,$1.03,31.04
2014-05-31,33.32,$1.09,30.61
2014-02-28,33.58,$0.61,54.7
2013-11-30,34.7,$1.19,29.2
2013-08-31,29.71,$-0.13,0.0
2013-05-31,32.96,$0.64,51.51
2013-02-28,29.15,$1.21,24.0
2012-11-30,32.95,$1.71,19.32
2012-08-31,32.08,$1.37,23.33
2012-05-31,31.63,$0.45,70.56
2012-02-29,30.91,$1.07,28.83
2011-11-30,28.65,$0.53,54.14
2011-08-31,28.6,$1.64,17.42
2011-05-31,29.87,$2.52,11.84
2011-02-28,27.61,$2.30,12.03
2010-11-30,28.48,$2.73,10.44
2010-08-31,23.83,$3.53,6.76
2010-05-31,24.58,$3.40,7.23
2010-02-28,23.1,$3.99,5.79
2009-11-30,17.78,$2.54,7.0
