Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,36.06,,7.74
2024-03-31,37.21,$4.66,7.98
2023-12-31,34.16,$5.94,5.75
2023-09-30,24.84,$5.88,4.23
2023-06-30,25.35,$7.34,3.45
2023-03-31,25.45,$8.07,3.15
2022-12-31,30.95,$8.57,3.61
2022-09-30,29.85,$7.58,3.94
2022-06-30,31.06,$6.99,4.44
2022-03-31,39.44,$6.29,6.27
2021-12-31,39.64,$3.43,11.54
2021-09-30,38.37,$-0.68,0.0
2021-06-30,34.32,$-2.47,0.0
2021-03-31,33.39,$-1.02,0.0
2020-12-31,24.41,$0.06,381.92
2020-09-30,18.45,$4.28,4.32
2020-06-30,16.69,$3.84,4.35
2020-03-31,12.67,$2.04,6.21
2019-12-31,25.79,$2.24,11.53
2019-09-30,22.79,$1.69,13.52
2019-06-30,23.02,$3.22,7.14
2019-03-31,20.63,$3.02,6.83
2018-12-31,19.08,$2.56,7.44
2018-09-30,22.43,$2.07,10.84
2018-06-30,22.91,$1.12,20.38
2017-12-31,23.94,$1.74,13.76
2017-09-30,21.97,$3.59,6.12
2017-06-30,20.26,$3.11,6.52
2017-03-31,19.72,$3.65,5.4
2016-12-31,20.82,$3.33,6.26
2018-03-31,25.18,$1.64,15.39
2016-09-30,15.71,$2.32,6.78
2016-06-30,13.43,$2.37,5.67
2016-03-31,12.64,$2.59,4.89
2015-12-31,15.1,$2.73,5.53
2015-09-30,14.12,$2.25,6.27
2015-06-30,15.44,$2.19,7.07
2015-03-31,13.89,$2.38,5.83
2014-12-31,14.91,$2.16,6.92
2014-09-30,14.56,$2.33,6.25
2014-06-30,15.43,$3.04,5.07
2014-03-31,16.49,$3.72,4.44
2013-12-31,15.03,$4.64,3.24
2013-09-30,12.82,$3.60,3.57
2013-06-30,12.74,$2.91,4.38
2013-03-31,11.44,$1.58,7.26
2012-12-31,10.59,$2.20,4.81
2012-09-30,10.73,$2.09,5.13
2012-06-30,9.21,$1.20,7.7
2012-03-31,9.6,$2.01,4.77
2011-12-31,8.64,$2.13,4.06
2011-09-30,6.82,$3.72,1.83
2011-06-30,8.54,$5.28,1.62
2011-03-31,9.26,$4.74,1.95
2010-12-31,9.74,$3.84,2.54
2010-09-30,7.98,$4.71,1.69
2010-06-30,8.14,$5.63,1.45
2010-03-31,8.98,$6.25,1.44
2009-12-31,6.45,$4.91,1.31
