Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data,Corning Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,40.05,,38.64
2024-03-31,32.96,$1.04,31.8
2023-12-31,30.19,$0.79,38.02
2023-09-30,29.91,$0.54,55.78
2023-06-30,34.11,$0.38,90.85
2023-03-31,34.03,$0.58,58.66
2022-12-31,30.56,$1.18,25.91
2022-09-30,27.54,$1.45,19.03
2022-06-30,29.68,$1.69,17.57
2022-03-31,34.5,$1.80,19.21
2021-12-31,34.57,$2.10,16.44
2021-09-30,33.67,$2.17,15.49
2021-06-30,37.52,$2.16,17.35
2021-03-31,39.69,$1.96,20.23
2020-12-31,32.63,$1.09,29.99
2020-09-30,29.19,$1.24,23.62
2020-06-30,23.17,$1.36,16.98
2020-03-31,18.2,$0.36,50.02
2019-12-31,25.56,$0.15,175.45
2019-09-30,24.87,$-0.23,0.0
2019-06-30,28.77,$-0.41,0.0
2019-03-31,28.47,$0.45,62.78
2018-12-31,25.83,$0.67,38.7
2018-09-30,30.02,$0.66,45.42
2018-06-30,23.27,$0.35,65.84
2018-03-31,23.42,$0.01,1760.83
2017-12-31,26.71,$0.22,119.5
2017-09-30,24.86,$0.83,29.83
2017-06-30,24.83,$1.02,24.45
2017-03-31,22.19,$1.36,16.29
2016-12-31,19.84,$1.23,16.13
2016-09-30,19.22,$0.70,27.51
2016-06-30,16.55,$0.74,22.36
2016-03-31,16.76,$0.67,25.17
2015-12-31,14.56,$1.18,12.39
2015-09-30,13.55,$1.26,10.71
2015-06-30,15.51,$1.39,11.13
2015-03-31,17.73,$1.65,10.74
2014-12-31,17.83,$2.55,7.01
2014-09-30,14.97,$2.67,5.6
2014-06-30,16.91,$2.34,7.22
2014-03-31,15.96,$2.01,7.95
2013-12-31,13.59,$1.21,11.24
2013-09-30,11.06,$1.03,10.72
2013-06-30,10.71,$1.01,10.65
2013-03-31,9.97,$0.99,10.03
2012-12-31,9.37,$0.93,10.05
2012-09-30,9.69,$0.71,13.64
2012-06-30,9.46,$0.74,12.87
2012-03-31,10.25,$0.68,15.04
2011-12-31,9.39,$0.48,19.65
2011-09-30,8.9,$1.25,7.1
2011-06-30,13.03,$1.21,10.75
2011-03-31,14.77,$1.52,9.73
2010-12-31,13.8,$1.79,7.71
2010-09-30,13.02,$1.25,10.44
2010-06-30,11.47,$1.31,8.78
2010-03-31,14.31,$1.07,13.4
2009-12-31,13.64,$0.77,17.7
