Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,12.23,,9.99
2024-03-31,13.12,$1.22,10.72
2023-12-31,11.73,$1.65,7.1
2023-09-30,11.77,$1.38,8.53
2023-06-30,14.19,$1.31,10.83
2023-03-31,11.67,$0.86,13.53
2022-12-31,10.13,$-0.00,0.0
2022-09-30,9.65,$0.65,14.75
2022-06-30,9.5,$1.48,6.4
2022-03-31,14.34,$0.98,14.64
2021-12-31,17.53,$2.37,7.4
2021-09-30,11.89,$2.72,4.37
2021-06-30,12.48,$3.83,3.26
2021-03-31,10.29,$6.01,1.71
2020-12-31,7.38,$4.66,1.58
2020-09-30,5.59,$4.03,1.39
2020-06-30,5.1,$2.32,2.2
2020-03-31,4.06,$1.45,2.79
2019-12-31,7.68,$2.50,3.07
2019-09-30,7.44,$2.15,3.46
2019-06-30,8.19,$2.22,3.69
2019-03-31,6.92,$1.85,3.73
2018-12-31,5.92,$1.81,3.27
2018-09-30,7.04,$2.26,3.12
2018-06-30,8.3,$2.29,3.63
2018-03-31,8.2,$2.54,3.23
2017-12-31,9.02,$2.76,3.26
2017-09-30,8.53,$2.69,3.18
2017-06-30,7.88,$2.72,2.9
2017-03-31,8.09,$3.21,2.52
2016-12-31,8.29,$3.22,2.58
2016-09-30,8.15,$3.11,2.62
2016-06-30,8.39,$3.41,2.46
2016-03-31,8.92,$2.76,3.23
2015-12-31,9.0,$2.26,3.99
2015-09-30,8.59,$2.21,3.89
2015-06-30,9.4,$1.93,4.86
2015-03-31,10.02,$1.76,5.69
2014-12-31,9.52,$1.78,5.35
2014-09-30,9.0,$1.36,6.63
2014-06-30,10.42,$1.02,10.21
2014-03-31,9.36,$1.43,6.56
2013-12-31,9.18,$0.94,9.75
2013-09-30,9.98,$0.76,13.13
2013-06-30,9.1,$0.75,12.1
2013-03-31,7.68,$0.33,23.17
2012-12-31,7.5,$0.89,8.47
2012-09-30,5.69,$1.09,5.22
2012-06-30,5.5,$1.23,4.47
2012-03-31,7.13,$1.21,5.89
2011-12-31,6.12,$1.34,4.58
2011-09-30,5.5,$2.51,2.19
2011-06-30,7.85,$2.44,3.22
2011-03-31,8.48,$2.14,3.97
2010-12-31,9.55,$1.84,5.18
2010-06-30,5.74,$2.22,2.58
2010-03-31,7.15,$2.57,2.78
2009-12-31,5.69,$3.45,1.65
2009-09-30,4.1,$5.12,0.8
