American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,74.89,,8.61
2024-03-31,77.75,$8.69,8.94
2023-12-31,67.06,$8.61,7.79
2023-09-30,59.67,$6.53,9.13
2023-06-30,56.32,$6.02,9.35
2023-03-31,48.98,$-1.28,0.0
2022-12-31,61.12,$-1.42,0.0
2022-09-30,45.66,$1.93,23.71
2022-06-30,48.88,$0.02,2980.28
2021-12-31,53.73,$7.20,7.47
2021-09-30,51.57,$7.82,6.6
2021-06-30,44.46,$4.41,10.07
2021-03-31,42.89,$2.90,14.8
2020-12-31,34.91,$2.56,13.65
2022-03-31,59.64,$0.74,80.08
2020-09-30,25.18,$-0.45,0.0
2020-06-30,28.21,$-0.88,0.0
2020-03-31,21.73,$-1.59,0.0
2019-12-31,45.49,$-2.03,0.0
2019-09-30,49.05,$-1.27,0.0
2019-06-30,46.65,$-1.49,0.0
2019-03-31,37.48,$-0.53,0.0
2018-12-31,34.05,$-0.43,0.0
2018-09-30,45.6,$1.31,34.84
2018-06-30,45.14,$0.76,59.65
2018-03-31,46.07,$0.87,53.18
2017-12-31,50.14,$-8.40,0.0
2017-09-30,51.39,$-8.13,0.0
2017-06-30,52.06,$-6.82,0.0
2017-03-31,51.72,$-6.23,0.0
2016-12-31,53.84,$3.21,16.77
2016-09-30,48.67,$2.00,24.34
2016-06-30,43.15,$2.30,18.79
2016-03-31,43.84,$1.04,42.2
2015-12-31,49.96,$2.16,23.17
2015-09-30,45.6,$2.18,20.88
2015-06-30,49.37,$2.70,18.29
2015-03-31,43.67,$3.22,13.56
2014-12-31,44.54,$3.46,12.88
2014-09-30,42.86,$4.32,9.91
2014-06-30,43.21,$3.95,10.94
2014-03-31,39.5,$4.58,8.63
2013-12-31,40.22,$3.96,10.16
2013-09-30,38.24,$3.11,12.3
2013-06-30,35.08,$2.38,14.74
2013-03-31,30.46,$2.03,15.02
2012-12-31,27.7,$2.18,12.71
2012-09-30,25.73,$2.32,11.11
2012-06-30,25.18,$2.81,8.96
2012-03-31,24.19,$3.42,7.08
2011-12-31,18.2,$-0.04,0.0
2011-09-30,17.22,$9.59,1.8
2011-06-30,23.01,$47.59,0.48
2011-03-31,27.57,$94.51,0.29
2010-12-31,37.94,$121.46,0.31
2010-09-30,25.75,$162.16,0.16
2010-06-30,22.68,$151.48,0.15
2010-03-31,22.48,$133.74,0.17
2009-12-31,19.74,$137.33,0.14
