Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,109.4,,0.0
2024-03-31,129.11,$-1.01,0.0
2023-12-31,131.18,$-1.21,0.0
2023-09-30,109.72,$-0.64,0.0
2023-06-30,119.07,$-3.87,0.0
2023-03-31,120.28,$0.12,985.93
2022-12-31,107.89,$-0.01,0.0
2022-06-30,111.09,$0.28,391.17
2022-03-31,151.44,$2.73,55.56
2021-12-31,157.1,$2.30,68.3
2021-09-30,116.58,$2.52,46.28
2021-06-30,110.58,$2.68,41.19
2021-03-31,97.56,$2.66,36.69
2020-12-31,91.16,$2.24,40.73
2020-09-30,91.51,$2.38,38.38
2020-06-30,84.4,$2.87,29.38
2020-03-31,72.24,$2.89,24.96
2019-12-31,79.53,$2.85,27.91
2019-09-30,75.57,$2.61,29.01
2019-03-31,62.99,$1.44,43.74
2018-12-31,51.03,$1.58,32.26
2018-09-30,58.45,$4.29,13.62
2018-06-30,56.24,$1.77,31.76
2018-03-31,53.53,$4.47,11.97
2017-12-31,54.41,$4.02,13.54
2019-06-30,70.59,$1.42,49.84
2017-09-30,53.17,$5.18,10.26
2017-06-30,48.8,$2.80,17.41
2017-03-31,42.85,$3.36,12.74
2016-12-31,43.21,$3.43,12.59
2016-09-30,43.47,$3.15,13.8
2016-06-30,39.49,$3.90,10.12
2016-03-31,35.28,$3.56,9.91
2015-12-31,33.94,$2.70,12.55
2015-09-30,30.47,$2.68,11.37
2015-06-30,28.75,$2.08,13.84
2015-03-31,33.45,$2.89,11.59
2014-12-31,32.77,$2.55,12.85
2014-09-30,28.48,$4.01,7.11
2014-06-30,30.78,$3.35,9.19
2014-03-31,30.34,$1.82,16.68
2013-12-31,27.24,$8.75,3.11
2013-09-30,27.52,$7.43,3.71
2013-06-30,27.38,$7.57,3.62
2013-03-31,28.82,$7.88,3.66
2012-12-31,26.12,$2.55,10.25
2012-09-30,24.87,$2.85,8.72
2012-06-30,23.41,$2.55,9.17
2012-03-31,25.16,$2.31,10.89
2011-12-31,19.8,$1.83,10.8
2011-09-30,16.62,$-6.07,0.0
2011-06-30,24.32,$-1.65,0.0
2011-03-31,24.22,$-0.13,0.0
2022-09-30,96.56,$-0.47,0.0
2010-12-31,21.17,$6.10,3.47
2010-09-30,17.34,$4.34,3.99
2010-06-30,15.35,$3.13,4.9
2010-03-31,17.63,$2.55,6.91
2009-12-31,16.37,$1.62,10.11
