Tapestry Price to Free Cash Flow Ratio Historical Data,Tapestry Price to Free Cash Flow Ratio Historical Data,Tapestry Price to Free Cash Flow Ratio Historical Data,Tapestry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,42.73,,7.76
2024-03-31,47.48,$5.50,8.63
2023-12-31,36.54,$5.53,6.61
2023-09-30,28.24,$4.31,6.55
2023-06-30,41.58,$3.28,12.68
2023-03-31,41.59,$2.55,16.33
2022-12-31,36.47,$2.11,17.26
2022-09-30,27.01,$2.05,13.17
2022-06-30,28.75,$2.81,10.23
2022-03-31,34.75,$3.24,10.72
2021-12-31,37.74,$3.94,9.58
2021-09-30,34.2,$3.99,8.56
2021-06-30,39.92,$4.35,9.17
2021-03-31,37.84,$2.88,13.12
2020-12-31,28.54,$1.70,16.79
2020-09-30,14.35,$1.27,11.29
2020-06-30,12.19,$0.72,16.85
2020-03-31,11.89,$1.33,8.92
2019-12-31,24.39,$1.71,14.26
2019-09-30,23.25,$1.80,12.88
2019-06-30,27.91,$1.78,15.66
2019-03-31,28.26,$2.59,10.91
2018-12-31,29.07,$3.13,9.3
2018-09-30,42.91,$2.81,15.28
2018-06-30,39.6,$2.53,15.65
2018-03-31,44.28,$2.20,20.1
2017-12-31,36.98,$2.35,15.76
2017-09-30,33.41,$2.31,14.49
2017-06-30,38.95,$2.46,15.81
2017-03-31,33.76,$2.10,16.05
2016-12-31,28.35,$1.99,14.23
2016-09-30,29.34,$1.14,25.68
2016-06-30,32.41,$1.30,24.99
2016-03-31,31.62,$1.24,25.54
2015-12-31,25.59,$1.32,19.34
2015-09-30,22.37,$2.09,10.73
2015-06-30,26.47,$2.66,9.94
2015-03-31,31.39,$3.15,9.95
2014-12-31,28.23,$2.93,9.64
2014-09-30,26.51,$2.67,9.92
2014-06-30,25.22,$2.73,9.24
2014-03-31,36.32,$2.84,12.79
2013-12-31,40.77,$3.23,12.62
2013-09-30,39.37,$4.01,9.83
2013-06-30,40.96,$4.10,10.0
2013-03-31,35.66,$3.80,9.39
2012-12-31,39.36,$3.43,11.49
2012-09-30,39.51,$3.38,11.7
2012-06-30,41.04,$3.53,11.64
2012-03-31,54.0,$3.36,16.06
2011-12-31,42.52,$3.77,11.28
2011-09-30,35.98,$3.08,11.68
2011-06-30,44.2,$2.94,15.05
2011-03-31,35.85,$2.86,12.54
2010-12-31,38.0,$2.87,13.22
2010-09-30,29.43,$2.71,10.88
2010-06-30,24.94,$2.88,8.66
2010-03-31,26.87,$3.15,8.53
2009-12-31,24.79,$3.51,7.06
