Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,80.01,,4.58
2024-03-31,85.56,$17.46,4.9
2023-12-31,77.32,$19.42,3.98
2023-09-30,70.19,$20.26,3.46
2023-03-31,71.08,$14.68,4.84
2022-12-31,79.57,$11.97,6.65
2022-09-30,67.92,$18.66,3.64
2022-06-30,62.35,$14.52,4.29
2022-03-31,67.92,$13.55,5.01
2021-12-31,66.28,$17.21,3.85
2021-03-31,53.43,$7.78,6.87
2020-12-31,43.77,$13.02,3.36
2020-09-30,35.14,$12.48,2.82
2020-06-30,35.77,$13.68,2.61
2020-03-31,26.6,$19.23,1.38
2019-12-31,46.1,$16.62,2.77
2018-12-31,35.49,$17.54,2.02
2018-09-30,46.57,$14.45,3.22
2018-06-30,41.69,$13.35,3.12
2018-03-31,47.52,$14.55,3.27
2017-12-31,54.59,$13.73,3.98
2017-09-30,49.43,$14.91,3.32
2017-06-30,48.86,$11.54,4.24
2017-03-31,47.78,$-1.23,0.0
2016-12-31,43.5,$9.76,4.46
2016-09-30,38.44,$9.67,3.97
2016-06-30,30.42,$10.43,2.92
2019-09-30,47.41,$22.88,2.07
2016-03-31,28.94,$15.12,1.91
2015-12-31,32.68,$14.23,2.3
2015-09-30,34.12,$13.77,2.48
2015-06-30,36.68,$12.50,2.94
2015-03-31,36.47,$10.13,3.6
2014-12-31,36.62,$9.93,3.69
2014-09-30,36.75,$4.93,7.45
2014-06-30,35.14,$6.95,5.06
2014-03-31,31.8,$6.46,4.92
2013-12-31,33.9,$5.22,6.49
2019-06-30,47.56,$9.29,5.12
2013-09-30,29.28,$6.87,4.26
2013-06-30,25.45,$8.64,2.95
2013-03-31,22.99,$12.15,1.89
2012-12-31,19.13,$12.12,1.58
2012-09-30,17.93,$12.75,1.41
2019-03-31,40.75,$11.46,3.56
2012-06-30,17.33,$7.79,2.22
2012-03-31,19.35,$2.69,7.19
2011-12-31,16.02,$2.43,6.59
2011-09-30,14.37,$1.32,10.92
2011-06-30,19.28,$3.45,5.58
2010-12-31,20.64,$8.58,2.41
2010-09-30,16.11,$9.68,1.66
2010-06-30,14.57,$11.99,1.22
2010-03-31,18.15,$10.15,1.79
2009-12-31,14.94,$9.34,1.6
2011-03-31,20.35,$9.19,2.22
2009-09-30,16.7,$5.28,3.16
2009-06-30,11.49,$7.95,1.44
2009-03-31,4.99,$10.71,0.47
