Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,145.0,,28.93
2024-03-31,198.57,$5.01,39.62
2023-12-31,205.85,$5.05,40.79
2023-09-30,257.64,$5.21,49.44
2023-06-30,318.8,$5.16,61.81
2023-03-31,301.3,$4.39,68.59
2022-12-31,307.54,$4.00,76.98
2022-09-30,327.05,$3.45,94.8
2022-06-30,277.62,$3.72,74.7
2022-03-31,343.29,$3.74,91.85
2021-12-31,411.49,$3.41,120.53
2021-09-30,491.33,$3.01,163.42
2021-06-30,360.23,$2.78,129.61
2021-03-31,366.76,$2.42,151.65
2020-12-31,448.21,$2.28,196.27
2020-09-30,308.52,$2.18,141.65
2020-06-30,306.97,$1.69,182.0
2020-03-31,200.21,$2.09,95.86
2019-12-31,262.4,$2.25,116.67
2019-09-30,207.62,$2.20,94.32
2019-06-30,224.7,$2.48,90.53
2019-03-31,187.44,$2.05,91.33
2018-12-31,121.36,$1.30,93.51
2018-09-30,154.02,$1.17,131.91
2018-06-30,97.95,$0.63,156.29
2017-12-31,79.61,$1.20,66.15
2017-09-30,74.29,$1.11,66.8
2017-06-30,67.8,$1.51,45.03
2017-03-31,57.0,$1.67,34.08
2016-12-31,45.08,$1.29,35.05
2018-03-31,106.43,$1.38,77.21
2016-09-30,49.68,$0.76,65.06
2016-06-30,42.82,$0.67,64.4
2016-03-31,35.28,$0.64,55.3
2015-12-31,37.29,$0.46,81.75
2015-09-30,35.59,$0.54,65.8
2015-06-30,33.85,$0.53,64.0
2015-03-31,31.77,$0.34,92.47
