Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,215.09,,26.03
2024-03-31,204.18,$8.26,24.71
2023-12-31,207.49,$6.50,31.92
2023-09-30,181.72,$5.71,31.8
2023-06-30,203.0,$6.16,32.94
2023-03-31,185.99,$5.40,34.41
2022-12-31,207.45,$6.64,31.23
2022-09-30,160.84,$6.93,23.22
2022-06-30,166.6,$5.45,30.57
2022-03-31,185.57,$6.09,30.48
2021-12-31,197.79,$7.38,26.8
2021-09-30,200.5,$7.53,26.64
2021-06-30,206.35,$7.28,28.35
2021-03-31,203.35,$7.50,27.1
2020-12-31,198.36,$7.54,26.32
2020-09-30,152.79,$7.08,21.57
2020-06-30,133.45,$7.84,17.02
2020-03-31,122.62,$8.13,15.08
2019-12-31,161.31,$8.35,19.31
2019-09-30,153.43,$6.93,22.15
2019-06-30,158.32,$7.36,21.5
2019-03-31,143.4,$7.50,19.12
2018-12-31,118.58,$7.46,15.89
2018-09-30,143.9,$8.11,17.74
2018-06-30,123.97,$7.43,16.69
2018-03-31,123.74,$6.79,18.24
2017-12-31,130.68,$6.50,20.1
2017-09-30,120.17,$6.39,18.81
2017-06-30,112.47,$6.46,17.41
2017-03-31,104.83,$6.57,15.95
2016-12-31,96.74,$5.71,16.95
2016-09-30,96.24,$5.51,17.46
2016-06-30,95.52,$5.70,16.76
2016-03-31,91.54,$5.49,16.67
2015-12-31,84.13,$5.65,14.88
2015-09-30,76.47,$5.41,14.13
2015-06-30,81.95,$4.80,17.09
2015-03-31,83.42,$4.73,17.65
2014-12-31,79.51,$5.04,15.79
2014-09-30,73.71,$4.86,15.16
2014-06-30,73.23,$4.73,15.49
2014-03-31,72.71,$4.66,15.61
2013-12-31,71.28,$4.27,16.7
2013-09-30,64.45,$4.00,16.11
2013-06-30,61.28,$3.87,15.82
2013-03-31,57.89,$3.52,16.46
2012-12-31,48.48,$3.33,14.55
2012-09-30,45.33,$3.44,13.17
2012-06-30,42.09,$3.10,13.58
2012-03-31,45.72,$3.34,13.67
2011-12-31,40.2,$2.58,15.59
2011-09-30,32.25,$2.11,15.32
2011-06-30,43.45,$2.96,14.7
2011-03-31,43.3,$2.98,14.51
2010-12-31,38.33,$4.57,8.39
2010-09-30,31.48,$5.06,6.22
2010-06-30,27.77,$4.90,5.66
2010-03-31,31.99,$5.01,6.39
2009-12-31,27.49,$4.46,6.17
