Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,281.56,,33.96
2024-03-31,260.7,$8.29,31.45
2023-12-31,213.23,$6.07,35.1
2023-09-30,200.31,$7.93,25.26
2023-06-30,217.07,$5.94,36.52
2023-03-31,229.64,$-0.45,0.0
2022-12-31,218.82,$0.95,229.25
2022-09-30,180.04,$-3.54,0.0
2022-06-30,186.92,$2.56,73.13
2021-12-31,227.85,$4.42,51.61
2021-09-30,193.05,$14.11,13.68
2021-06-30,176.81,$14.50,12.2
2021-03-31,167.81,$9.45,17.76
2020-12-31,132.81,$16.10,8.25
2022-03-31,223.82,$6.71,33.38
2020-09-30,135.01,$9.85,13.71
2020-06-30,123.8,$10.52,11.77
2020-03-31,79.18,$5.75,13.78
2019-12-31,87.2,$4.94,17.64
2019-09-30,84.1,$4.34,19.39
2019-06-30,100.8,$4.29,23.49
2019-03-31,90.26,$3.58,25.2
2018-12-31,76.79,$3.39,22.68
2018-09-30,83.35,$2.80,29.74
2018-06-30,69.91,$3.24,21.56
2018-03-31,57.35,$3.87,14.82
2017-12-31,67.75,$3.06,22.14
2017-09-30,57.13,$3.87,14.78
2017-06-30,48.69,$2.96,16.45
2017-03-31,61.66,$1.62,38.18
2016-12-31,67.55,$3.18,21.26
2016-09-30,59.8,$1.91,31.35
2016-06-30,80.73,$1.93,41.77
2016-03-31,79.89,$0.04,2012.24
2015-12-31,75.33,$1.30,57.76
2015-09-30,74.1,$-0.02,0.0
2015-06-30,78.89,$1.56,50.54
2014-12-31,68.85,$1.79,38.57
2014-09-30,53.62,$1.21,44.22
2014-06-30,52.51,$1.42,36.94
2014-03-31,61.25,$0.10,644.76
2013-12-31,67.15,$1.43,46.96
2015-03-31,74.44,$-0.50,0.0
2013-09-30,58.03,$0.83,69.74
2013-06-30,50.67,$0.71,71.26
2013-03-31,44.78,$0.89,50.54
2012-12-31,37.92,$1.55,24.44
2012-09-30,42.35,$0.88,48.17
2012-06-30,35.49,$0.90,39.57
2012-03-31,38.61,$0.74,52.39
2011-12-31,29.87,$0.60,49.76
2011-09-30,26.58,$0.69,38.33
2011-06-30,28.37,$0.91,31.21
2011-03-31,25.34,$0.58,43.55
2010-12-31,20.5,$0.85,24.23
2010-09-30,16.74,$0.73,22.93
2010-06-30,12.84,$0.77,16.72
2010-03-31,12.2,$0.95,12.79
2009-12-31,11.11,$0.96,11.51
