Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,50.95,,7.81
2023-12-31,60.78,$6.53,9.31
2023-09-30,62.73,$10.04,6.25
2023-06-30,64.53,$6.62,9.75
2023-03-31,50.32,$4.68,10.76
2022-12-31,49.78,$8.43,5.91
2024-03-31,67.25,$1.92,34.98
2022-09-30,46.05,$3.48,13.23
2022-06-30,51.93,$3.81,13.61
2022-03-31,50.49,$4.69,10.77
2021-12-31,43.52,$4.95,8.79
2021-09-30,43.22,$5.37,8.05
2021-06-30,49.68,$5.08,9.79
2021-03-31,47.33,$5.67,8.34
2020-12-31,41.81,$5.90,7.08
2020-09-30,31.05,$7.04,4.41
2020-06-30,31.79,$7.01,4.54
2020-03-31,36.1,$6.79,5.32
2019-12-31,49.29,$6.54,7.53
2019-09-30,51.99,$6.17,8.43
2019-06-30,50.08,$6.36,7.88
2019-03-31,52.95,$6.05,8.76
2018-12-31,49.52,$7.90,6.26
2018-09-30,54.23,$8.77,6.18
2018-06-30,59.63,$8.16,7.3
2018-03-31,65.58,$7.82,8.39
2017-12-31,71.08,$6.13,11.59
2017-09-30,70.33,$5.14,13.69
2017-06-30,74.04,$5.44,13.6
2017-03-31,81.72,$4.08,20.04
2016-12-31,82.75,$4.50,18.4
2016-09-30,92.99,$3.68,25.24
2016-06-30,85.31,$3.49,24.45
2016-03-31,80.81,$3.13,25.86
2015-12-31,78.55,$2.43,32.34
2015-09-30,69.13,$2.38,29.0
2015-06-30,57.79,$3.49,16.58
2015-03-31,61.28,$3.65,16.8
2014-12-31,61.01,$5.57,10.95
2014-09-30,60.65,$5.29,11.46
2014-06-30,60.12,$5.05,11.9
2014-03-31,47.45,$5.21,9.11
2013-12-31,44.97,$5.04,8.93
2013-09-30,39.91,$4.87,8.2
2013-06-30,37.85,$4.95,7.64
2013-03-31,38.45,$4.47,8.6
2012-12-31,33.39,$4.27,7.81
2012-09-30,34.87,$4.69,7.43
2012-06-30,31.98,$4.10,7.79
2012-03-31,34.49,$3.45,9.99
2011-12-31,32.95,$3.42,9.64
2011-09-30,29.73,$2.17,13.69
2011-06-30,33.33,$2.30,14.52
2011-03-31,34.68,$2.80,12.39
2010-12-31,36.89,$3.08,11.98
2010-09-30,34.51,$4.02,8.58
2010-06-30,30.76,$3.94,7.81
2010-03-31,30.33,$4.18,7.26
2009-12-31,32.38,$3.76,8.61
