PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,153.2,,6.14
2024-03-31,159.95,$24.94,6.41
2023-12-31,151.69,$25.21,6.02
2023-09-30,118.71,$22.88,5.19
2023-06-30,120.3,$30.88,3.9
2023-03-31,119.96,$29.07,4.13
2022-12-31,147.72,$22.05,6.7
2022-09-30,138.36,$20.49,6.75
2022-06-30,144.71,$15.76,9.18
2022-03-31,167.79,$12.75,13.16
2021-12-31,181.38,$16.93,10.71
2021-09-30,175.88,$13.25,13.28
2021-06-30,170.37,$10.58,16.1
2021-03-31,155.64,$-3.69,0.0
2020-12-31,131.23,$1.36,96.15
2020-09-30,95.8,$-1.67,0.0
2020-06-30,90.71,$2.40,37.8
2019-12-31,134.92,$16.44,8.21
2019-09-30,117.51,$27.85,4.22
2019-06-30,114.15,$24.74,4.61
2019-03-31,101.26,$22.35,4.53
2018-12-31,95.76,$22.75,4.21
2020-03-31,81.51,$10.59,7.69
2018-09-30,110.71,$13.93,7.95
2018-06-30,109.09,$16.55,6.59
2018-03-31,121.49,$14.39,8.45
2017-12-31,115.34,$11.48,10.05
2017-09-30,107.14,$12.13,8.83
2017-06-30,98.69,$10.04,9.83
2017-03-31,94.58,$9.69,9.76
2016-12-31,91.57,$7.00,13.08
2016-09-30,70.1,$8.25,8.5
2016-06-30,62.91,$8.96,7.02
2016-03-31,64.98,$10.66,6.1
2015-12-31,72.8,$10.60,6.87
2015-09-30,67.75,$8.86,7.65
2015-06-30,72.26,$7.12,10.15
2015-03-31,70.06,$7.33,9.56
2014-12-31,68.16,$10.40,6.55
2014-09-30,63.57,$7.93,8.02
2014-06-30,65.78,$13.50,4.87
2014-03-31,63.89,$1.13,56.42
2013-12-31,56.65,$-0.19,0.0
2013-09-30,52.59,$3.85,13.68
2013-06-30,52.62,$-1.87,0.0
2012-12-31,41.52,$12.87,3.23
2012-09-30,44.64,$20.19,2.21
2012-06-30,42.96,$18.67,2.3
2012-03-31,45.04,$18.40,2.45
2011-12-31,40.05,$18.80,2.13
2013-03-31,47.66,$10.63,4.48
2011-09-30,33.23,$9.53,3.49
2011-06-30,40.85,$8.18,4.99
2011-03-31,42.93,$6.09,7.05
2010-12-31,41.31,$9.25,4.46
2010-09-30,35.25,$15.60,2.26
2010-06-30,38.31,$17.77,2.16
2010-03-31,40.41,$15.23,2.65
2009-12-31,35.67,$12.65,2.82
