CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,235.49,,20.97
2024-03-31,255.1,$11.23,22.72
2023-12-31,226.15,$10.64,21.25
2023-09-30,200.15,$8.52,23.49
2023-06-30,181.5,$7.56,24.02
2023-03-31,192.09,$8.77,21.92
2022-12-31,175.51,$8.82,19.9
2022-09-30,152.92,$8.05,18.99
2022-06-30,153.95,$7.81,19.71
2022-03-31,174.24,$5.09,34.22
2021-12-31,198.88,$4.87,40.82
2021-09-30,176.33,$7.90,22.32
2021-06-30,168.84,$7.27,23.24
2021-03-31,159.86,$8.89,17.99
2020-12-31,126.79,$7.99,15.88
2020-09-30,114.66,$5.40,21.23
2020-06-30,111.07,$5.73,19.37
2020-03-31,88.86,$5.15,17.24
2019-12-31,135.68,$5.35,25.36
2019-09-30,116.74,$5.89,19.81
2019-06-30,104.87,$5.90,17.79
2019-03-31,90.79,$5.57,16.31
2018-12-31,76.12,$5.34,14.26
2018-09-30,83.23,$5.54,15.03
2018-06-30,75.44,$4.21,17.92
2018-03-31,65.48,$3.58,18.27
2017-12-31,64.53,$4.40,14.65
2017-09-30,61.09,$2.92,20.96
2017-06-30,57.73,$3.67,15.75
2017-03-31,53.13,$2.94,18.07
2016-12-31,47.83,$3.26,14.69
2016-09-30,41.86,$2.40,17.44
2016-06-30,36.6,$2.37,15.42
2016-03-31,37.8,$2.59,14.59
2015-12-31,38.19,$1.09,35.01
2015-09-30,37.03,$1.84,20.13
2015-06-30,31.01,$1.74,17.78
2015-03-31,33.63,$1.79,18.78
2014-12-31,31.7,$2.20,14.41
2014-09-30,27.93,$1.80,15.53
2014-06-30,28.64,$1.63,17.54
2014-03-31,24.61,$3.39,7.27
