Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data,Aflac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,89.67,,16.77
2024-03-31,85.37,$5.35,15.96
2023-12-31,81.51,$5.33,15.3
2023-09-30,75.45,$5.55,13.59
2023-06-30,68.22,$5.13,13.29
2023-03-31,62.66,$5.60,11.18
2022-12-31,69.44,$6.08,11.42
2022-09-30,53.94,$5.75,9.39
2022-06-30,52.76,$6.80,7.76
2022-03-31,60.98,$7.42,8.22
2021-12-31,54.96,$7.46,7.36
2021-09-30,48.78,$8.10,6.03
2021-06-30,49.93,$8.12,6.15
2021-03-31,47.34,$8.35,5.67
2020-12-31,40.84,$8.32,4.91
2020-09-30,33.17,$8.02,4.13
2020-06-30,32.63,$7.77,4.2
2020-03-31,30.75,$7.21,4.27
2019-12-31,47.26,$7.31,6.47
2019-09-30,46.51,$7.46,6.23
2019-06-30,48.47,$9.33,5.19
2019-03-31,43.99,$9.81,4.49
2018-12-31,39.86,$9.66,4.13
2018-09-30,40.94,$9.75,4.2
2018-03-31,37.64,$7.09,5.31
2017-12-31,37.53,$7.68,4.89
2017-09-30,34.61,$9.41,3.68
2017-06-30,32.86,$6.18,5.31
2017-03-31,30.46,$5.96,5.11
2016-12-31,29.09,$5.65,5.15
2018-06-30,37.21,$3.61,10.31
2016-09-30,29.87,$7.30,4.09
2016-06-30,29.82,$7.69,3.88
2016-03-31,25.94,$7.74,3.35
2015-12-31,24.43,$7.82,3.12
2015-09-30,23.55,$7.71,3.06
2015-06-30,25.05,$7.35,3.41
2015-03-31,25.62,$7.11,3.6
2014-12-31,24.3,$7.21,3.37
2014-09-30,23.02,$8.66,2.66
2014-06-30,24.45,$8.63,2.83
2014-03-31,24.61,$8.96,2.75
2013-12-31,25.93,$11.28,2.3
2013-09-30,23.93,$11.40,2.1
2013-06-30,22.31,$14.29,1.56
2013-03-31,19.84,$16.22,1.22
2012-12-31,20.11,$15.93,1.26
2012-09-30,18.0,$15.74,1.14
2012-06-30,15.9,$14.62,1.09
2012-03-31,17.04,$13.05,1.31
2011-12-31,15.92,$11.55,1.38
2011-09-30,12.76,$10.25,1.25
2011-06-30,16.92,$8.85,1.91
2011-03-31,19.02,$8.33,2.28
2010-12-31,20.23,$7.39,2.74
2010-09-30,18.44,$7.02,2.63
2010-06-30,15.12,$6.70,2.26
2010-03-31,19.13,$6.15,3.11
2009-12-31,16.2,$6.57,2.47
