Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,53.15,,0.0
2024-03-31,53.84,$-5.48,0.0
2023-12-31,56.33,$-7.28,0.0
2023-09-30,48.28,$-11.69,0.0
2023-06-30,57.01,$-11.73,0.0
2023-03-31,59.62,$-9.66,0.0
2022-12-31,59.03,$-9.77,0.0
2022-09-30,53.53,$-9.14,0.0
2022-06-30,62.08,$-10.41,0.0
2022-03-31,62.35,$-11.04,0.0
2021-12-31,63.72,$-11.47,0.0
2021-09-30,57.13,$-8.48,0.0
2021-06-30,58.19,$-6.52,0.0
2021-03-31,54.8,$-4.36,0.0
2020-12-31,53.03,$-2.65,0.0
2020-09-30,51.22,$-4.83,0.0
2020-06-30,49.59,$-4.16,0.0
2020-03-31,41.05,$-6.96,0.0
2019-12-31,59.96,$-7.65,0.0
2019-09-30,61.9,$-3.80,0.0
2019-06-30,55.16,$-4.78,0.0
2019-03-31,58.26,$-2.36,0.0
2018-12-31,49.45,$-2.45,0.0
2018-09-30,44.31,$-2.81,0.0
2018-06-30,41.42,$-1.64,0.0
2018-03-31,39.34,$-1.94,0.0
2017-12-31,42.81,$-1.41,0.0
2017-09-30,42.45,$-2.78,0.0
2017-06-30,40.5,$-3.44,0.0
2017-03-31,43.21,$-3.36,0.0
2016-12-31,41.29,$-3.57,0.0
2016-09-30,47.57,$-1.44,0.0
2016-06-30,48.86,$-0.62,0.0
2016-03-31,43.62,$-2.52,0.0
2015-12-31,35.66,$-2.20,0.0
2015-09-30,32.36,$-2.40,0.0
2015-06-30,29.95,$-2.65,0.0
2015-03-31,34.39,$-0.79,0.0
2014-12-31,31.45,$-2.77,0.0
2014-09-30,26.58,$-2.86,0.0
2014-06-30,28.58,$-4.81,0.0
2014-03-31,25.96,$-6.90,0.0
2013-12-31,23.41,$-4.79,0.0
2013-09-30,24.59,$-6.69,0.0
2013-06-30,25.59,$-7.44,0.0
2013-03-31,27.36,$-5.81,0.0
2012-12-31,23.97,$-5.24,0.0
2012-09-30,24.09,$-4.10,0.0
2012-06-30,24.35,$-4.39,0.0
2012-03-31,22.33,$-3.99,0.0
2011-12-31,19.92,$-5.22,0.0
2011-09-30,18.06,$-7.53,0.0
2011-06-30,18.52,$-4.05,0.0
2011-03-31,19.09,$-5.46,0.0
2010-12-31,18.45,$-4.47,0.0
2010-09-30,17.96,$-1.13,0.0
2010-06-30,15.94,$-1.14,0.0
2010-03-31,15.92,$1.35,11.78
2009-12-31,13.24,$1.60,8.29
