Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,128.18,,15.91
2024-03-31,148.23,$8.06,18.39
2023-12-31,117.73,$11.12,10.59
2023-09-30,106.51,$13.19,8.08
2023-06-30,107.77,$16.93,6.37
2023-03-31,111.42,$18.77,5.94
2022-12-31,95.92,$19.24,4.99
2022-09-30,69.42,$17.63,3.94
2022-06-30,64.41,$12.53,5.14
2022-03-31,80.83,$9.44,8.57
2021-12-31,59.89,$5.80,10.33
2021-09-30,56.19,$2.36,23.84
2021-06-30,57.02,$-0.56,0.0
2021-03-31,48.35,$-1.19,0.0
2020-12-31,34.94,$-0.99,0.0
2020-09-30,26.95,$1.09,24.83
2020-06-30,24.34,$3.27,7.45
2020-03-31,20.83,$3.68,5.65
2019-12-31,31.1,$4.28,7.27
2019-09-30,27.04,$4.99,5.42
2019-06-30,27.18,$5.13,5.29
2019-03-31,31.49,$5.03,6.26
2018-12-31,26.64,$5.00,5.33
2018-09-30,39.82,$3.81,10.46
2018-06-30,40.32,$3.08,13.11
2018-03-31,38.65,$2.10,18.41
2017-12-31,37.53,$2.38,15.79
2017-09-30,29.89,$2.28,13.08
2017-06-30,30.91,$2.08,14.88
2017-03-31,29.87,$2.40,12.42
2016-12-31,30.44,$2.67,11.41
2016-09-30,21.3,$3.46,6.16
2016-06-30,20.77,$3.45,6.02
2016-03-31,18.97,$4.13,4.59
2015-12-31,14.96,$3.88,3.86
2015-09-30,14.28,$3.80,3.76
2015-06-30,17.08,$4.18,4.09
2015-03-31,16.47,$3.18,5.18
2014-12-31,16.06,$2.13,7.53
2014-09-30,18.28,$1.00,18.32
2014-06-30,14.44,$0.63,22.94
2014-03-31,14.22,$0.37,38.0
2013-12-31,15.52,$0.52,29.6
2013-09-30,13.21,$0.99,13.39
2013-06-30,11.7,$0.70,16.67
2013-03-31,12.36,$0.98,12.68
2012-12-31,10.62,$0.94,11.31
2012-09-30,8.63,$0.44,19.4
2012-06-30,8.92,$0.95,9.36
2012-03-31,10.97,$1.31,8.35
2011-12-31,9.85,$1.35,7.28
2011-09-30,7.38,$1.06,6.94
2011-06-30,11.96,$0.56,21.45
2011-03-31,13.73,$-0.09,0.0
2010-12-31,13.32,$0.15,87.06
2010-09-30,10.23,$0.17,59.36
2010-06-30,9.51,$-0.07,0.0
2010-03-31,12.53,$-0.02,0.0
2009-12-31,12.66,$0.58,21.99
