Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,56.3,,27.3
2024-03-31,58.73,$2.06,28.47
2023-12-31,53.27,$1.52,34.97
2023-09-30,49.52,$-0.66,0.0
2023-06-30,49.61,$0.26,193.65
2023-03-31,57.12,$0.01,4294.68
2022-12-31,59.46,$-4.52,0.0
2022-09-30,62.52,$-2.71,0.0
2022-06-30,81.12,$-0.60,0.0
2022-03-31,84.05,$-1.97,0.0
2021-09-30,73.23,$7.21,10.16
2021-06-30,68.04,$9.43,7.21
2021-03-31,68.16,$9.50,7.18
2020-12-31,58.73,$13.54,4.34
2020-09-30,53.84,$10.69,5.04
2021-12-31,81.33,$7.75,10.49
2020-06-30,53.69,$6.84,7.85
2020-03-31,51.68,$4.40,11.76
2019-12-31,80.81,$3.51,23.03
2019-09-30,76.11,$3.43,22.21
2019-06-30,71.05,$3.50,20.27
2019-03-31,60.8,$3.98,15.26
2018-12-31,46.48,$4.04,11.49
2018-09-30,51.81,$4.78,10.84
2018-06-30,59.64,$5.14,11.6
2018-03-31,63.12,$4.31,14.64
2017-12-31,69.63,$3.87,18.0
2017-09-30,60.35,$4.14,14.59
2017-06-30,53.45,$3.48,15.34
2017-03-31,52.47,$4.67,11.25
2016-12-31,52.25,$5.42,9.64
2016-09-30,63.02,$5.18,12.16
2016-06-30,56.25,$5.15,10.92
2016-03-31,56.01,$5.16,10.85
2015-12-31,44.71,$4.92,9.08
2015-09-30,36.03,$3.86,9.34
2015-06-30,35.55,$2.58,13.77
2015-03-31,31.86,$0.27,116.08
2014-09-30,32.6,$1.50,21.73
2014-06-30,31.02,$0.96,32.28
2014-03-31,36.3,$1.98,18.32
2013-12-31,27.55,$3.79,7.27
2013-09-30,23.23,$2.91,7.98
2014-12-31,33.27,$2.34,14.24
2013-06-30,21.05,$1.77,11.89
2013-03-31,20.31,$0.12,170.95
2012-12-31,15.84,$0.87,18.25
2012-09-30,12.98,$1.65,7.88
2012-06-30,15.21,$-0.05,0.0
2011-09-30,13.94,$1.06,13.15
2011-06-30,15.56,$2.48,6.28
2011-03-31,15.34,$2.02,7.58
2010-12-31,13.74,$4.08,3.37
2010-09-30,12.75,$2.95,4.32
2011-12-31,16.61,$2.19,7.58
2010-06-30,13.01,$2.22,5.87
2010-03-31,15.17,$1.52,10.0
2009-12-31,9.7,$2.45,3.96
2009-09-30,9.95,$1.59,6.25
