Kimco Realty Price to Free Cash Flow Ratio Historical Data,Kimco Realty Price to Free Cash Flow Ratio Historical Data,Kimco Realty Price to Free Cash Flow Ratio Historical Data,Kimco Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,18.98,,19.72
2024-03-31,19.61,$0.96,20.38
2023-12-31,21.31,$1.12,19.09
2023-09-30,17.59,$0.88,19.94
2023-06-30,19.72,$1.11,17.82
2023-03-31,19.53,$1.09,17.94
2022-12-31,21.18,$0.89,23.75
2022-09-30,18.22,$1.05,17.39
2022-06-30,19.37,$0.76,25.34
2022-03-31,23.98,$0.89,27.08
2021-12-31,23.74,$0.79,30.2
2021-09-30,19.84,$0.81,24.54
2021-06-30,19.78,$1.22,16.23
2021-03-31,17.66,$0.79,22.44
2020-12-31,14.01,$0.84,16.61
2020-09-30,10.4,$0.99,10.49
2020-06-30,11.76,$0.82,14.3
2020-03-31,8.57,$0.95,9.03
2019-12-31,18.35,$1.10,16.74
2019-09-30,18.01,$1.07,16.82
2019-06-30,15.69,$1.21,12.92
2019-03-31,15.47,$1.74,8.88
2018-12-31,12.25,$2.04,6.0
2018-09-30,13.76,$1.93,7.12
2018-06-30,13.73,$1.68,8.17
2018-03-31,11.41,$0.98,11.59
2017-12-31,14.38,$0.65,22.21
2017-09-30,15.04,$0.70,21.37
2017-06-30,13.92,$0.87,15.92
2017-03-31,16.56,$1.07,15.45
2016-12-31,18.86,$1.15,16.43
2016-09-30,21.27,$2.76,7.7
2016-06-30,22.87,$2.84,8.06
2016-03-31,20.79,$2.95,7.05
2015-12-31,19.11,$1.77,10.8
2015-09-30,17.31,$1.97,8.8
2015-06-30,15.81,$2.22,7.13
2015-03-31,18.66,$1.75,10.68
2014-12-31,17.47,$2.86,6.11
2014-09-30,14.93,$0.76,19.72
2014-06-30,15.51,$0.94,16.45
2014-03-31,14.61,$1.34,10.94
2013-12-31,13.19,$1.21,10.9
2013-09-30,13.19,$1.56,8.47
2013-06-30,13.87,$0.85,16.4
2013-03-31,14.36,$0.86,16.67
2012-12-31,12.39,$0.92,13.39
2012-09-30,12.73,$0.65,19.67
2012-06-30,11.83,$0.72,16.42
2012-03-31,11.86,$0.68,17.32
2011-12-31,10.0,$0.61,16.47
2011-09-30,9.03,$0.73,12.3
2011-06-30,11.1,$0.83,13.39
2011-03-31,10.81,$1.14,9.45
2010-12-31,10.63,$1.24,8.6
2010-09-30,9.09,$0.48,18.94
2010-06-30,7.76,$0.40,19.43
2010-03-31,8.93,$-0.12,0.0
2009-12-31,7.65,$-0.16,0.0
