McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data,McCormick Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,68.68,,18.38
2024-02-29,68.48,$3.74,18.33
2023-11-30,64.08,$3.61,17.76
2023-08-31,80.64,$2.88,27.96
2023-05-31,83.84,$2.27,36.97
2023-02-28,72.35,$1.69,42.76
2022-11-30,82.54,$1.44,57.26
2022-08-31,81.06,$1.67,48.55
2022-05-31,89.0,$1.80,49.31
2022-02-28,91.02,$2.24,40.58
2021-11-30,81.76,$2.04,40.1
2021-08-31,81.86,$1.93,42.51
2021-05-31,84.16,$2.46,34.18
2021-02-28,79.33,$2.71,29.28
2020-11-30,87.69,$3.03,28.92
2020-08-31,96.39,$3.22,29.89
2020-05-31,81.6,$2.91,28.02
2020-02-29,67.83,$2.61,25.94
2019-11-30,78.25,$2.88,27.14
2019-08-31,75.05,$2.85,26.3
2019-05-31,71.65,$2.76,25.96
2019-02-28,62.2,$2.93,21.2
2018-11-30,68.33,$2.45,27.93
2018-08-31,56.67,$2.74,20.68
2018-05-31,45.64,$2.68,17.0
2018-02-28,48.01,$2.21,21.74
2017-11-30,45.71,$2.46,18.55
2017-08-31,42.35,$1.82,23.3
2017-05-31,46.14,$1.79,25.71
2017-02-28,43.4,$0.25,173.46
2016-11-30,40.01,$1.02,39.19
2016-08-31,44.53,$0.36,122.04
2016-05-31,42.23,$0.31,136.08
2015-11-30,37.03,$1.79,20.71
2015-08-31,34.01,$2.16,15.78
2015-05-31,33.5,$1.98,16.96
2015-02-28,32.0,$1.98,16.2
2014-11-30,31.39,$1.96,16.03
2016-02-29,40.39,$0.98,41.21
2014-08-31,29.27,$1.48,19.78
2014-05-31,30.22,$1.52,19.9
2014-02-28,27.6,$1.52,18.16
2013-11-30,28.53,$1.38,20.73
2013-08-31,27.82,$1.22,22.81
2013-05-31,28.27,$1.25,22.54
2013-02-28,27.4,$1.34,20.47
2012-11-30,26.16,$1.29,20.31
2012-08-31,24.77,$1.53,16.19
2012-05-31,22.61,$1.30,17.33
2012-02-29,20.12,$1.07,18.72
2011-11-30,19.31,$0.91,21.26
2011-08-31,18.83,$0.87,21.7
2011-05-31,19.67,$1.02,19.27
2011-02-28,18.56,$1.04,17.77
2010-11-30,17.04,$1.13,15.07
2010-08-31,15.34,$1.09,14.04
2010-05-31,14.74,$1.16,12.76
2010-02-28,14.09,$1.32,10.68
2009-11-30,13.45,$1.26,10.65
