Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data,Union Pacific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,226.11,,18.61
2024-03-31,245.93,$12.15,20.24
2023-12-31,244.37,$12.81,19.08
2023-03-31,196.65,$8.71,22.58
2022-12-31,201.09,$9.20,21.85
2022-09-30,188.03,$12.58,14.94
2022-06-30,204.67,$6.32,32.37
2022-03-31,260.65,$6.80,38.33
2021-12-31,239.21,$7.15,33.45
2023-06-30,201.27,$3.77,53.43
2021-09-30,185.21,$10.04,18.45
2021-06-30,206.8,$8.96,23.09
2021-03-31,206.27,$8.66,23.82
2020-12-31,193.96,$8.48,22.86
2020-09-30,182.52,$7.59,24.05
2020-06-30,155.98,$8.33,18.73
2020-03-31,129.38,$7.71,16.79
2019-12-31,164.84,$7.41,22.26
2019-09-30,146.89,$7.12,20.62
2019-06-30,152.44,$7.18,21.23
2019-03-31,149.94,$7.45,20.13
2018-12-31,123.32,$7.04,17.51
2018-09-30,145.26,$6.78,21.42
2018-06-30,125.72,$5.99,20.98
2018-03-31,118.7,$5.12,23.17
2017-12-31,117.76,$5.19,22.69
2017-09-30,101.29,$5.17,19.59
2017-06-30,94.58,$5.07,18.67
2017-03-31,91.48,$4.55,20.12
2016-12-31,89.05,$4.97,17.93
2016-09-30,83.27,$4.09,20.37
2016-06-30,74.07,$3.71,19.99
2016-03-31,67.08,$4.02,16.71
2015-12-31,65.49,$3.39,19.33
2015-09-30,73.56,$3.96,18.57
2015-06-30,78.85,$4.19,18.81
2015-03-31,89.07,$3.67,24.3
2014-12-31,97.53,$3.53,27.66
2014-09-30,88.38,$3.70,23.88
2014-06-30,80.93,$3.36,24.09
2014-03-31,75.79,$3.86,19.65
2013-12-31,67.5,$3.68,18.36
2013-09-30,62.11,$3.65,17.02
2013-06-30,61.37,$3.23,19.03
2013-03-31,56.4,$2.80,20.17
2012-12-31,49.54,$2.63,18.86
2012-09-30,46.51,$2.04,22.79
2012-06-30,46.52,$2.54,18.34
2012-03-31,41.69,$2.74,15.22
2011-12-31,40.87,$2.78,14.72
2011-09-30,31.32,$2.73,11.48
2011-06-30,39.82,$2.30,17.34
2011-03-31,37.34,$2.15,17.35
2010-12-31,35.04,$1.68,20.85
2010-09-30,30.81,$1.57,19.6
2010-06-30,26.06,$1.22,21.3
2010-03-31,27.35,$1.03,26.44
2009-12-31,23.75,$0.93,25.64
2009-09-30,21.6,$6.02,3.59
