Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,240.4,,24.3
2024-03-31,268.33,$9.89,27.13
2023-12-31,260.58,$10.26,25.4
2023-09-30,229.11,$9.36,24.48
2023-06-30,247.37,$8.49,29.12
2023-03-31,239.47,$7.52,31.84
2022-12-31,215.52,$6.30,34.2
2022-09-30,175.7,$6.39,27.51
2022-06-30,176.0,$6.14,28.65
2022-03-31,200.86,$6.29,31.92
2021-12-31,235.4,$7.20,32.69
2021-09-30,196.11,$7.19,27.27
2021-06-30,210.97,$7.42,28.42
2021-03-31,207.98,$8.07,25.76
2020-12-31,190.45,$8.11,23.49
2020-09-30,179.47,$8.00,22.44
2020-06-30,161.47,$8.65,18.67
2020-03-31,130.42,$8.37,15.57
2019-12-31,163.62,$8.27,19.77
2019-09-30,141.7,$8.33,17.0
2019-06-30,135.62,$7.96,17.04
2019-03-31,128.21,$7.68,16.7
2018-12-31,112.38,$7.34,15.32
2018-09-30,124.19,$6.96,17.85
2018-06-30,121.06,$6.75,17.95
2018-03-31,136.13,$6.26,21.75
2017-12-31,144.25,$6.11,23.61
2017-09-30,127.33,$5.98,21.29
2017-06-30,122.62,$5.50,22.32
2017-03-31,112.89,$5.71,19.76
2016-12-31,103.84,$5.73,18.13
2016-09-30,101.09,$5.77,17.53
2016-06-30,87.39,$5.98,14.62
2016-03-31,85.48,$5.72,14.94
2015-12-31,76.92,$5.53,13.92
2015-09-30,67.91,$4.72,14.4
2015-06-30,75.22,$3.37,22.35
2015-03-31,79.19,$3.54,22.35
2014-12-31,76.82,$3.17,24.22
2014-09-30,68.13,$3.64,18.69
2014-06-30,70.27,$4.89,14.38
2014-03-31,64.96,$4.87,13.34
2013-12-31,66.81,$4.89,13.66
2013-09-30,60.3,$4.58,13.18
2013-06-30,54.39,$4.11,13.22
2013-03-31,47.65,$3.75,12.71
2012-12-31,47.26,$3.63,13.0
2012-09-30,45.92,$3.82,12.01
2012-06-30,40.58,$4.09,9.93
2012-03-31,43.52,$3.66,11.88
2011-12-31,35.37,$3.28,10.8
2011-09-30,31.25,$2.58,12.1
2011-06-30,42.09,$2.01,20.89
2011-03-31,39.78,$2.10,18.96
2010-12-31,39.3,$2.42,16.24
2010-09-30,34.38,$2.78,12.38
2010-06-30,29.97,$2.91,10.29
2010-03-31,34.14,$3.52,9.69
2009-12-31,34.37,$3.86,8.9
