Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,96.16,,0.0
2024-03-31,93.3,$-13.89,0.0
2023-12-31,91.51,$-22.45,0.0
2023-09-30,79.19,$-19.77,0.0
2023-06-30,82.05,$-26.26,0.0
2023-03-31,83.63,$-11.66,0.0
2022-12-31,80.34,$-5.53,0.0
2022-09-30,73.96,$2.93,25.22
2022-06-30,70.54,$8.86,7.96
2022-03-31,80.38,$2.72,29.52
2021-12-31,89.66,$17.45,5.14
2021-09-30,88.28,$1.69,52.2
2021-06-30,82.58,$-3.89,0.0
2021-03-31,69.65,$-16.86,0.0
2020-12-31,61.16,$-16.43,0.0
2020-09-30,42.84,$-0.97,0.0
2020-06-30,42.49,$11.71,3.63
2020-03-31,29.65,$28.83,1.03
2019-12-31,44.3,$23.75,1.87
2019-09-30,36.7,$19.78,1.86
2019-06-30,37.39,$19.75,1.89
2019-03-31,35.79,$6.07,5.9
2018-12-31,33.39,$3.13,10.67
2018-09-30,38.96,$9.58,4.07
2018-06-30,39.42,$4.20,9.39
2018-03-31,44.66,$3.68,12.13
2017-12-31,43.24,$-3.37,0.0
2017-09-30,39.5,$-6.86,0.0
2017-06-30,36.35,$-14.20,0.0
2017-03-31,34.78,$0.02,1870.03
2016-12-31,34.15,$2.18,15.69
2016-09-30,25.76,$5.28,4.88
2016-06-30,20.73,$9.89,2.1
2016-03-31,19.85,$5.84,3.4
2015-12-31,25.1,$-2.99,0.0
2015-09-30,24.74,$-8.16,0.0
2015-06-30,30.35,$-7.33,0.0
2015-03-31,27.81,$-9.19,0.0
2014-12-31,30.15,$0.05,632.03
2014-09-30,26.78,$12.77,2.1
2014-06-30,24.97,$10.84,2.3
2014-03-31,24.0,$17.47,1.37
2013-12-31,24.1,$17.22,1.4
2013-09-30,20.68,$8.71,2.37
2013-06-30,18.71,$12.44,1.5
2013-03-31,16.79,$10.25,1.64
2012-12-31,14.58,$12.22,1.19
2012-09-30,12.73,$14.75,0.86
2012-06-30,11.05,$21.34,0.52
2012-03-31,14.83,$13.73,1.08
2011-12-31,11.4,$8.40,1.36
2011-09-30,10.15,$20.39,0.5
2011-06-30,17.25,$7.34,2.35
2011-03-31,20.44,$13.86,1.47
2010-12-31,20.32,$27.93,0.73
2010-09-30,18.4,$11.97,1.54
2010-06-30,17.27,$13.45,1.28
2010-03-31,21.76,$4.96,4.39
2009-12-31,21.95,$-41.19,0.0
