Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,67.91,,37.29
2024-04-30,59.15,$1.82,32.48
2024-01-31,54.71,$1.90,28.86
2023-10-31,53.9,$1.57,34.23
2023-07-31,52.54,$2.39,22.03
2023-04-30,49.43,$2.39,20.7
2023-01-31,46.91,$1.48,31.66
2022-10-31,46.24,$0.87,52.96
2022-07-31,42.71,$0.69,62.32
2022-04-30,49.31,$-2.56,0.0
2022-01-31,44.88,$-0.57,0.0
2021-10-31,47.78,$-0.86,0.0
2021-07-31,45.42,$0.28,164.85
2021-01-31,44.4,$3.05,14.57
2020-10-31,43.69,$3.58,12.21
2020-07-31,40.58,$3.54,11.47
2020-04-30,37.95,$2.42,15.7
2020-01-31,35.58,$2.38,14.94
2021-04-30,44.4,$0.90,49.39
2019-10-31,36.28,$1.64,22.09
2019-07-31,33.99,$0.71,47.81
2019-04-30,31.5,$1.03,30.64
2019-01-31,29.19,$1.24,23.54
2018-10-31,30.38,$0.81,37.56
2018-01-31,31.72,$2.07,15.35
2017-10-31,25.84,$2.67,9.67
2017-07-31,23.53,$1.68,13.98
2017-04-30,21.97,$1.57,14.02
2017-01-31,19.36,$1.87,10.33
2018-07-31,26.88,$0.79,33.85
2016-10-31,20.17,$2.40,8.4
2016-07-31,20.88,$2.31,9.04
2016-04-30,18.99,$1.92,9.87
2016-01-31,18.71,$1.73,10.8
2015-10-31,16.0,$1.69,9.46
2015-07-31,19.99,$1.59,12.59
2015-04-30,21.54,$1.59,13.57
2015-01-31,23.31,$1.74,13.37
2014-10-31,20.8,$1.45,14.32
2014-07-31,19.94,$1.27,15.65
2014-04-30,21.47,$1.30,16.52
2014-01-31,19.99,$1.10,18.11
2013-10-31,20.42,$1.02,20.03
2013-07-31,20.61,$1.23,16.81
2013-04-30,20.43,$1.20,17.09
2013-01-31,18.27,$1.30,14.05
2012-10-31,19.49,$1.45,13.43
2012-07-31,19.23,$1.30,14.78
2012-04-30,15.12,$1.42,10.65
2012-01-31,15.64,$1.09,14.4
2011-10-31,14.37,$1.10,13.01
2011-07-31,13.26,$1.02,12.96
2011-04-30,13.74,$1.14,12.08
2011-01-31,13.91,$1.04,13.4
2010-10-31,13.37,$1.28,10.43
2010-07-31,12.56,$1.35,9.28
2010-04-30,13.08,$1.07,12.19
2010-01-31,12.96,$1.30,10.0
2009-10-31,11.99,$0.95,12.59
2009-07-31,11.97,$1.40,8.56
