Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,128.6,,82.84
2024-03-31,111.28,$1.55,71.68
2023-12-31,85.82,$3.66,23.48
2023-09-30,84.18,$2.68,31.42
2023-06-30,74.28,$3.77,19.68
2023-03-31,70.73,$5.22,13.56
2022-12-31,70.92,$4.53,15.66
2022-09-30,57.92,$6.98,8.29
2022-06-30,56.98,$7.25,7.86
2022-03-31,71.74,$8.08,8.88
2021-12-31,49.36,$7.86,6.28
2021-09-30,46.41,$7.51,6.18
2021-06-30,41.83,$7.66,5.46
2021-03-31,29.79,$5.06,5.88
2020-12-31,24.66,$3.41,7.22
2020-09-30,13.04,$1.36,9.57
2020-06-30,18.55,$-0.72,0.0
2020-03-31,6.34,$-3.19,0.0
2019-12-31,36.55,$-6.40,0.0
2019-09-30,35.13,$-10.36,0.0
2019-06-30,33.55,$-11.17,0.0
2019-03-31,34.72,$-10.42,0.0
2018-12-31,29.48,$-8.79,0.0
2018-09-30,45.26,$-5.12,0.0
2018-06-30,39.08,$-4.20,0.0
2018-03-31,34.09,$-3.74,0.0
2017-12-31,36.81,$-1.73,0.0
2017-09-30,35.19,$-0.58,0.0
2017-06-30,32.99,$0.55,60.17
2017-03-31,43.0,$2.21,19.44
2016-12-31,39.62,$1.78,22.22
2016-09-30,34.0,$3.61,9.41
2016-06-30,28.48,$4.13,6.9
2016-03-31,19.74,$2.71,7.27
2015-12-31,17.19,$4.06,4.24
2015-09-30,32.19,$2.49,12.92
2015-06-30,55.21,$0.73,75.66
2015-03-31,58.81,$-1.06,0.0
2014-12-31,64.53,$-0.01,0.0
2014-09-30,82.37,$-5.54,0.0
2014-06-30,84.0,$-8.18,0.0
2014-03-31,59.38,$-11.42,0.0
2013-12-31,52.39,$-14.99,0.0
2013-09-30,43.04,$-12.60,0.0
2013-06-30,37.66,$-9.56,0.0
2013-03-31,39.49,$-5.24,0.0
2012-12-31,30.46,$-3.70,0.0
2012-09-30,28.78,$0.55,51.87
2012-06-30,24.21,$-1.70,0.0
2012-03-31,25.56,$1.68,15.18
2011-12-31,22.7,$1.14,19.82
2011-09-30,16.44,$4.04,4.06
