KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,13.92,,5.37
2024-03-31,15.59,$2.59,6.01
2023-12-31,13.99,$2.97,4.72
2023-09-30,10.27,$3.56,2.88
2023-06-30,8.66,$5.20,1.67
2023-03-31,11.5,$4.52,2.55
2022-12-31,15.82,$4.70,3.36
2022-09-30,14.38,$2.99,4.81
2022-06-30,15.3,$1.74,8.77
2022-03-31,19.69,$2.29,8.58
2021-12-31,20.19,$1.14,17.72
2021-09-30,18.71,$2.14,8.74
2021-06-30,17.71,$1.79,9.87
2021-03-31,17.0,$1.62,10.5
2020-12-31,13.84,$1.65,8.38
2020-09-30,9.94,$1.66,6.0
2020-06-30,10.0,$2.23,4.49
2020-03-31,8.38,$2.10,3.99
2019-12-31,16.18,$2.83,5.71
2019-09-30,14.13,$3.47,4.07
2019-06-30,13.89,$2.62,5.3
2019-03-31,12.2,$3.04,4.01
2018-12-31,11.34,$2.28,4.97
2018-09-30,15.12,$1.31,11.52
2018-06-30,14.74,$2.48,5.95
2018-03-31,14.66,$1.73,8.5
2017-12-31,15.05,$1.56,9.62
2017-09-30,13.96,$1.80,7.76
2017-06-30,13.83,$0.26,53.88
2017-03-31,13.05,$0.83,15.66
2016-12-31,13.35,$1.65,8.11
2016-09-30,8.85,$1.79,4.95
2016-06-30,7.97,$3.37,2.37
2016-03-31,7.91,$1.69,4.69
2015-12-31,9.39,$2.17,4.32
2015-09-30,9.21,$1.38,6.65
2015-03-31,9.92,$-0.06,0.0
2014-12-31,9.69,$1.39,6.95
2014-09-30,9.25,$2.02,4.58
2014-06-30,9.9,$0.96,10.36
2014-03-31,9.79,$0.78,12.55
2013-12-31,9.18,$1.35,6.81
2015-06-30,10.58,$0.05,213.21
2013-09-30,7.77,$1.52,5.11
2013-06-30,7.49,$1.73,4.34
2013-03-31,6.72,$2.62,2.57
2012-12-31,5.65,$1.20,4.69
2012-09-30,5.83,$0.44,13.22
2012-06-30,5.13,$0.73,7.0
2012-03-31,5.6,$0.12,45.35
2011-12-31,5.05,$1.72,2.93
2011-09-30,3.88,$2.66,1.46
2011-06-30,5.42,$2.66,2.04
2011-03-31,5.76,$2.42,2.38
2010-12-31,5.73,$2.93,1.96
2010-09-30,5.15,$3.55,1.45
2010-06-30,4.97,$3.35,1.48
2010-03-31,5.0,$4.17,1.2
2009-12-31,3.57,$3.02,1.18
