Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,318.15,,24.11
2024-03-31,282.3,$13.20,21.39
2023-12-31,283.77,$13.68,20.75
2023-09-30,262.71,$17.34,15.15
2023-06-30,215.29,$17.91,12.02
2023-03-31,232.22,$13.99,16.59
2022-12-31,250.07,$16.24,15.4
2022-09-30,213.16,$20.27,10.52
2022-06-30,228.32,$18.10,12.61
2022-03-31,225.14,$18.21,12.36
2021-12-31,207.66,$17.96,11.56
2021-06-30,221.41,$15.26,14.51
2021-03-31,224.44,$16.74,13.4
2020-12-31,205.85,$16.76,12.28
2020-09-30,226.03,$17.13,13.2
2020-06-30,208.37,$16.99,12.26
2020-03-31,177.91,$14.60,12.18
2019-12-31,210.05,$14.01,14.99
2019-09-30,167.5,$14.49,11.56
2019-06-30,159.51,$13.99,11.4
2019-03-31,163.06,$15.02,10.85
2018-12-31,165.79,$15.88,10.44
2018-09-30,175.34,$15.55,11.27
2018-06-30,155.09,$15.20,10.21
2018-03-31,142.16,$5.17,27.51
2017-12-31,143.95,$5.35,26.91
2017-09-30,153.31,$4.82,31.79
2017-06-30,140.67,$3.59,39.18
2016-12-31,117.75,$12.75,9.23
2016-09-30,133.43,$18.25,7.31
2016-06-30,121.01,$17.90,6.76
2016-03-31,118.47,$18.30,6.48
2015-12-31,127.37,$20.38,6.25
2017-03-31,133.04,$12.86,10.34
2015-09-30,107.86,$13.31,8.1
2015-06-30,119.27,$12.93,9.22
2015-03-31,123.57,$11.21,11.03
2014-12-31,122.5,$10.70,11.45
2014-09-30,107.62,$9.43,11.42
2014-06-30,90.26,$8.23,10.97
2014-03-31,93.53,$7.44,12.57
2013-12-31,86.08,$7.34,11.72
2013-09-30,84.1,$8.86,9.5
2013-06-30,73.81,$7.48,9.86
2013-03-31,76.36,$7.59,10.07
2021-09-30,194.63,$9.25,21.05
2012-12-31,63.85,$6.60,9.68
2012-09-30,62.18,$7.35,8.46
2012-06-30,53.55,$6.35,8.44
2012-03-31,49.67,$5.04,9.86
2011-12-31,46.68,$4.99,9.35
2011-09-30,39.75,$5.37,7.4
2011-06-30,41.98,$5.61,7.48
2011-03-31,38.45,$5.56,6.92
2010-12-31,39.5,$5.40,7.32
2010-09-30,39.65,$5.16,7.68
2010-06-30,37.84,$5.73,6.6
2010-03-31,43.05,$5.80,7.42
2009-12-31,40.7,$5.69,7.16
