Gartner Price to Free Cash Flow Ratio Historical Data,Gartner Price to Free Cash Flow Ratio Historical Data,Gartner Price to Free Cash Flow Ratio Historical Data,Gartner Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,452.13,,33.42
2024-03-31,476.67,$13.53,35.24
2023-12-31,451.11,$13.21,34.15
2023-09-30,343.61,$12.68,27.1
2023-06-30,350.31,$12.46,28.11
2023-03-31,325.77,$12.23,26.64
2022-12-31,336.14,$12.25,27.43
2022-09-30,276.69,$12.62,21.93
2022-06-30,241.83,$13.09,18.48
2022-03-31,297.46,$14.73,20.2
2021-12-31,334.32,$14.54,23.0
2021-09-30,303.88,$14.89,20.41
2021-06-30,242.2,$13.35,18.14
2021-03-31,182.55,$10.38,17.59
2020-12-31,160.19,$9.10,17.6
2020-09-30,124.95,$6.79,18.4
2020-06-30,121.33,$6.28,19.33
2020-03-31,99.57,$4.75,20.95
2019-12-31,154.1,$4.58,33.66
2019-09-30,142.99,$4.07,35.11
2019-06-30,160.94,$4.49,35.86
2019-03-31,151.68,$4.07,37.25
2018-12-31,127.84,$3.74,34.21
2018-09-30,158.5,$3.79,41.77
2018-06-30,132.9,$2.62,50.66
2018-03-31,117.62,$1.92,61.39
2017-12-31,123.15,$1.60,76.92
2017-09-30,124.41,$2.57,48.45
2017-06-30,123.51,$2.60,47.55
2017-03-31,107.99,$3.21,33.68
2016-12-31,101.07,$3.77,26.83
2016-09-30,88.45,$3.71,23.83
2016-06-30,97.41,$3.66,26.63
2016-03-31,89.35,$3.67,24.35
2015-12-31,90.7,$3.52,25.76
2015-09-30,83.93,$3.35,25.07
2015-06-30,85.78,$3.42,25.09
2015-03-31,83.85,$3.25,25.78
2014-12-31,84.21,$3.40,24.78
2014-09-30,73.47,$3.46,21.23
2014-06-30,70.52,$3.15,22.4
2014-03-31,69.44,$2.92,23.81
2013-12-31,71.05,$2.94,24.14
2013-09-30,60.0,$2.87,20.93
2013-06-30,56.99,$2.90,19.66
2013-03-31,54.41,$2.44,22.28
2012-12-31,46.02,$2.46,18.73
2012-09-30,46.09,$2.47,18.68
2012-06-30,43.05,$2.44,17.65
2012-03-31,42.64,$2.57,16.61
2011-12-31,34.77,$2.16,16.09
2011-09-30,34.87,$2.24,15.57
2011-06-30,40.29,$1.84,21.85
2011-03-31,41.67,$1.67,24.95
2010-12-31,33.2,$1.84,18.03
2010-09-30,29.44,$1.57,18.76
2010-06-30,23.25,$1.49,15.61
2010-03-31,22.24,$1.28,17.33
2009-12-31,18.04,$1.50,11.99
