American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,230.38,,7.38
2024-03-31,226.97,$31.22,7.27
2023-12-31,186.15,$23.09,8.06
2023-09-30,147.64,$25.00,5.9
2023-06-30,171.19,$19.74,8.67
2023-03-31,161.5,$20.04,8.06
2022-12-31,144.14,$25.56,5.64
2022-09-30,131.14,$20.80,6.31
2022-06-30,134.74,$20.14,6.69
2022-03-31,180.57,$18.67,9.67
2021-12-31,157.59,$16.58,9.51
2021-09-30,160.97,$14.67,10.97
2021-06-30,158.36,$12.12,13.06
2021-03-31,135.56,$10.70,12.67
2020-12-31,115.12,$5.10,22.56
2020-09-30,95.07,$4.59,20.69
2020-06-30,89.87,$0.75,119.5
2020-03-31,80.36,$1.56,51.67
2019-12-31,116.46,$14.44,8.06
2019-09-30,110.23,$9.20,11.99
2019-06-30,114.68,$16.30,7.03
2019-03-31,101.19,$16.48,6.14
2018-12-31,87.88,$8.87,9.91
2018-09-30,97.82,$16.09,6.08
2018-06-30,89.71,$15.18,5.91
2018-03-31,85.07,$15.23,5.59
2017-12-31,90.26,$14.08,6.41
2017-09-30,81.9,$11.91,6.88
2017-06-30,75.98,$8.88,8.56
2017-03-31,71.06,$6.06,11.72
2016-12-31,66.26,$7.40,8.96
2016-09-30,57.0,$6.68,8.53
2016-06-30,54.08,$8.40,6.44
2016-03-31,54.12,$9.82,5.51
2015-12-31,61.03,$9.34,6.54
2015-09-30,64.81,$8.90,7.28
2015-06-30,67.95,$8.87,7.66
2015-03-31,68.04,$8.28,8.22
2014-12-31,80.54,$9.32,8.64
2014-09-30,75.55,$7.31,10.34
2014-06-30,81.65,$2.13,38.26
2014-03-31,77.29,$3.15,24.52
2013-12-31,77.69,$6.92,11.22
2013-09-30,64.47,$3.58,17.99
2013-06-30,63.62,$8.75,7.27
2013-03-31,57.24,$9.21,6.22
2012-12-31,48.6,$5.28,9.2
2012-09-30,47.91,$11.30,4.24
2012-06-30,48.88,$9.81,4.98
2012-03-31,48.43,$9.73,4.98
2011-12-31,39.33,$7.25,5.43
2011-09-30,37.28,$5.68,6.57
2011-06-30,42.93,$5.98,7.18
2011-03-31,37.26,$5.03,7.41
2010-12-31,35.24,$6.57,5.36
2010-09-30,34.34,$6.56,5.24
2010-06-30,32.44,$6.27,5.18
2010-03-31,33.56,$5.78,5.81
2009-12-31,32.68,$4.80,6.81
