GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,164.24,,37.34
2024-03-31,139.71,$4.40,31.76
2023-12-31,101.58,$3.34,30.4
2023-09-30,87.93,$4.77,18.42
2023-06-30,87.25,$4.61,18.95
2023-03-31,75.93,$4.71,16.12
2022-12-31,66.49,$4.51,14.73
2022-09-30,49.08,$2.88,17.04
2022-06-30,50.41,$3.62,13.94
2022-03-31,72.36,$3.65,19.84
2021-12-31,74.64,$2.29,32.53
2021-09-30,81.33,$3.24,25.07
2021-06-30,84.94,$2.33,36.4
2021-03-31,82.79,$0.60,137.96
2020-12-31,68.05,$2.00,33.99
2020-09-30,39.22,$4.60,8.52
2020-06-30,42.93,$5.00,8.59
2020-03-31,49.82,$5.86,8.5
2019-12-31,69.96,$6.32,11.07
2019-09-30,55.99,$7.89,7.1
2019-06-30,65.69,$3.47,18.92
2019-03-31,62.44,$2.85,21.93
2018-12-31,45.58,$2.25,20.26
2018-09-30,67.89,$-1.48,0.0
2018-06-30,81.08,$2.19,37.04
2018-03-31,79.58,$4.90,16.25
2017-12-31,102.17,$5.01,20.39
2017-09-30,140.61,$3.22,43.72
2017-06-30,155.51,$3.48,44.73
2017-03-31,170.16,$-1.58,0.0
2016-12-31,179.01,$-1.42,0.0
2016-09-30,166.54,$1.08,153.69
2016-06-30,175.64,$0.42,415.91
2016-03-31,176.04,$8.26,21.32
2015-12-31,171.15,$12.71,13.47
2015-09-30,137.54,$16.19,8.49
2015-06-30,143.6,$20.46,7.02
2015-03-31,132.97,$20.25,6.57
2014-12-31,134.2,$18.57,7.23
2014-09-30,134.82,$21.13,6.38
2014-06-30,137.14,$19.73,6.95
2014-03-31,134.01,$19.91,6.73
2013-12-31,143.83,$19.03,7.56
2013-09-30,121.61,$14.78,8.23
2013-06-30,117.14,$15.33,7.64
2013-03-31,115.84,$14.57,7.95
2012-12-31,104.31,$16.96,6.15
2012-09-30,111.85,$16.00,6.99
2012-06-30,101.87,$18.19,5.6
2012-03-31,97.26,$19.06,5.1
2011-12-31,86.03,$20.03,4.3
2011-09-30,72.43,$21.22,3.41
2011-06-30,88.92,$22.24,4.0
2011-03-31,93.77,$24.31,3.86
2010-12-31,84.96,$25.12,3.38
2010-09-30,74.9,$26.74,2.8
2010-06-30,65.98,$25.98,2.54
2010-03-31,82.76,$23.52,3.52
2009-12-31,68.37,$16.78,4.08
