Ralph Lauren Price to Free Cash Flow Ratio Historical Data,Ralph Lauren Price to Free Cash Flow Ratio Historical Data,Ralph Lauren Price to Free Cash Flow Ratio Historical Data,Ralph Lauren Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,182.61,,13.42
2024-03-31,187.76,$13.61,13.8
2023-12-31,143.62,$11.72,12.25
2023-09-30,115.03,$7.88,14.6
2023-06-30,121.39,$6.15,19.74
2023-03-31,114.17,$2.80,40.71
2022-12-31,102.73,$1.43,72.07
2022-09-30,81.98,$0.88,93.38
2022-06-30,85.8,$4.56,18.81
2022-03-31,107.66,$7.39,14.57
2021-12-31,112.13,$9.84,11.39
2021-09-30,104.11,$9.94,10.47
2021-06-30,109.8,$7.88,13.94
2021-03-31,114.14,$3.72,30.72
2020-12-31,96.14,$2.65,36.25
2020-09-30,62.99,$4.43,14.23
2020-06-30,67.21,$3.18,21.15
2020-03-31,61.93,$6.54,9.47
2019-12-31,107.64,$7.89,13.64
2019-09-30,87.16,$7.17,12.15
2019-06-30,102.94,$7.27,14.16
2019-03-31,116.81,$7.42,15.75
2018-12-31,92.75,$6.55,14.17
2018-09-30,122.56,$6.92,17.72
2018-06-30,111.51,$8.58,13.0
2018-03-31,98.68,$9.86,10.01
2017-12-31,91.11,$10.72,8.5
2017-09-30,77.2,$11.68,6.61
2017-06-30,64.17,$9.64,6.65
2017-03-31,70.48,$8.08,8.72
2016-12-31,77.53,$8.31,9.32
2016-09-30,86.34,$5.87,14.7
2016-06-30,76.11,$5.94,12.81
2016-03-31,81.3,$6.97,11.66
2015-12-31,93.67,$5.17,18.12
2015-09-30,98.84,$6.43,15.37
2015-06-30,110.21,$4.99,22.07
2015-03-31,109.09,$5.64,19.36
2014-12-31,153.03,$7.18,21.3
2014-09-30,135.82,$6.66,20.38
2014-06-30,132.13,$6.82,19.38
2014-03-31,131.95,$5.62,23.48
2013-12-31,144.35,$5.47,26.39
2013-09-30,134.33,$5.96,22.54
2013-06-30,141.33,$8.21,17.21
2013-03-31,137.09,$7.93,17.29
2012-12-31,121.1,$7.37,16.44
2012-09-30,121.83,$6.44,18.92
2012-06-30,112.53,$6.81,16.53
2012-03-31,139.66,$6.42,21.76
2011-12-31,110.5,$6.66,16.59
2011-09-30,103.64,$5.08,20.4
2011-06-30,105.82,$4.85,21.81
2011-03-31,98.52,$4.39,22.42
2010-12-31,88.23,$4.37,20.2
2010-09-30,71.42,$5.66,12.62
2010-06-30,57.92,$5.59,10.37
2010-03-31,67.42,$6.96,9.68
2009-12-31,64.13,$12.72,5.04
