NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data,NiSource Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,28.32,,0.0
2024-03-31,27.4,$-2.17,0.0
2023-12-31,26.03,$-1.59,0.0
2023-09-30,23.96,$-1.48,0.0
2023-06-30,26.31,$-1.71,0.0
2023-03-31,26.67,$-1.80,0.0
2022-12-31,25.91,$-1.79,0.0
2022-09-30,23.59,$-1.76,0.0
2022-06-30,27.41,$-1.28,0.0
2022-03-31,29.32,$-1.40,0.0
2021-12-31,25.25,$-1.49,0.0
2021-09-30,21.97,$1.51,14.55
2021-06-30,22.02,$1.27,17.37
2021-03-31,21.48,$1.62,13.24
2020-12-31,20.24,$1.20,16.84
2020-09-30,19.24,$-1.50,0.0
2020-06-30,19.71,$-1.09,0.0
2020-03-31,21.47,$-0.92,0.0
2019-12-31,23.78,$-0.58,0.0
2019-09-30,25.37,$-2.77,0.0
2019-06-30,24.25,$-3.29,0.0
2019-03-31,23.96,$-3.51,0.0
2018-12-31,21.04,$-3.58,0.0
2018-09-30,20.52,$-1.83,0.0
2018-06-30,21.48,$-2.70,0.0
2018-03-31,19.39,$-3.13,0.0
2017-12-31,20.64,$-2.88,0.0
2017-09-30,20.44,$-2.44,0.0
2017-06-30,20.12,$-1.75,0.0
2017-03-31,18.74,$-1.78,0.0
2016-12-31,17.3,$-2.08,0.0
2016-09-30,18.7,$-2.26,0.0
2016-06-30,20.44,$-2.04,0.0
2016-03-31,18.04,$-0.84,0.0
2015-12-31,14.83,$0.30,49.34
2015-09-30,13.98,$1.06,13.25
2015-06-30,13.17,$2.51,5.25
2015-03-31,12.68,$1.22,10.41
2014-12-31,12.11,$0.12,103.35
2014-09-30,11.63,$1.30,8.92
2014-06-30,11.09,$-0.17,0.0
2014-03-31,9.95,$0.53,18.72
2013-12-31,9.14,$0.75,12.22
2013-09-30,8.52,$-1.11,0.0
2013-06-30,7.83,$-0.89,0.0
2013-03-31,7.96,$-1.05,0.0
2012-12-31,6.7,$-0.66,0.0
2012-09-30,6.79,$-1.13,0.0
2012-06-30,6.53,$-1.36,0.0
2012-03-31,6.37,$-0.96,0.0
2011-12-31,6.17,$-0.84,0.0
2011-09-30,5.48,$0.62,8.82
2011-06-30,5.13,$0.54,9.5
2011-03-31,4.8,$0.70,6.91
2010-12-31,4.36,$-0.27,0.0
2010-09-30,4.25,$0.50,8.44
2010-06-30,3.49,$0.36,9.59
2010-03-31,3.75,$-0.04,0.0
2009-12-31,3.6,$3.24,1.11
