Packaging Of America Price to Free Cash Flow Ratio Historical Data,Packaging Of America Price to Free Cash Flow Ratio Historical Data,Packaging Of America Price to Free Cash Flow Ratio Historical Data,Packaging Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,183.33,,19.02
2024-03-31,188.49,$9.64,19.56
2023-12-31,160.71,$9.46,16.98
2023-09-30,150.33,$9.19,16.35
2023-06-30,128.31,$9.10,14.09
2023-03-31,133.52,$7.94,16.82
2022-12-31,121.86,$7.26,16.78
2022-09-30,105.96,$7.03,15.07
2022-06-30,128.32,$5.73,22.39
2022-03-31,144.46,$5.33,27.11
2021-12-31,125.16,$5.26,23.8
2021-09-30,125.39,$4.69,26.73
2021-06-30,122.72,$5.35,22.95
2021-03-31,120.99,$5.90,20.52
2020-12-31,123.18,$6.53,18.87
2020-09-30,96.69,$7.52,12.85
2020-06-30,87.83,$8.06,10.9
2020-03-31,75.81,$8.72,8.69
2019-12-31,96.79,$8.63,11.22
2019-09-30,91.05,$8.66,10.51
2019-06-30,81.2,$7.86,10.33
2019-03-31,83.97,$7.38,11.39
2018-12-31,69.96,$6.71,10.42
2018-09-30,91.18,$7.57,12.04
2018-06-30,92.28,$7.27,12.69
2018-03-31,92.43,$6.66,13.88
2017-12-31,98.35,$7.01,14.03
2017-06-30,89.91,$5.62,16.0
2017-03-31,73.51,$5.38,13.67
2016-12-31,67.59,$5.69,11.88
2016-09-30,64.29,$5.45,11.8
2016-06-30,52.53,$5.76,9.12
2016-03-31,47.02,$5.64,8.34
2015-12-31,48.6,$4.71,10.31
2015-09-30,45.97,$3.74,12.29
2015-06-30,47.36,$3.01,15.72
2015-03-31,58.78,$2.78,21.15
2014-12-31,58.26,$3.25,17.91
2014-09-30,47.4,$3.97,11.94
2014-06-30,52.79,$3.68,14.35
2014-03-31,51.67,$4.15,12.46
2013-12-31,46.21,$3.83,12.05
2013-09-30,41.42,$4.18,9.91
2013-06-30,35.26,$4.07,8.66
2013-03-31,32.05,$3.53,9.08
2012-12-31,27.28,$2.83,9.65
2012-09-30,25.57,$2.05,12.5
2012-06-30,19.74,$1.28,15.45
2012-03-31,20.49,$0.66,31.2
2011-12-31,17.34,$0.65,26.65
2011-09-30,15.87,$0.71,22.43
2011-06-30,18.92,$0.96,19.71
2011-03-31,19.39,$0.77,25.13
2010-12-31,17.22,$0.30,56.58
2010-09-30,15.36,$0.32,47.5
2010-06-30,14.5,$0.53,27.25
2010-03-31,16.1,$1.18,13.63
2009-12-31,14.96,$1.88,7.97
2009-09-30,13.17,$5.23,2.52
