First Solar Price to Free Cash Flow Ratio Historical Data,First Solar Price to Free Cash Flow Ratio Historical Data,First Solar Price to Free Cash Flow Ratio Historical Data,First Solar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,258.87,,0.0
2024-03-31,168.8,$-4.88,0.0
2023-12-31,172.28,$-7.31,0.0
2023-09-30,161.59,$-4.90,0.0
2023-06-30,190.09,$-4.69,0.0
2023-03-31,217.5,$-1.31,0.0
2022-12-31,149.79,$-0.28,0.0
2022-09-30,132.27,$-6.18,0.0
2022-06-30,68.13,$-3.96,0.0
2022-03-31,83.74,$-2.13,0.0
2021-12-31,87.16,$-2.83,0.0
2021-09-30,95.46,$-0.43,0.0
2021-06-30,90.51,$-0.78,0.0
2021-03-31,87.3,$-1.21,0.0
2020-12-31,98.92,$-3.56,0.0
2020-09-30,66.2,$1.37,48.47
2020-06-30,49.5,$-4.26,0.0
2020-03-31,36.06,$-6.19,0.0
2019-12-31,55.96,$-4.70,0.0
2019-09-30,58.01,$-13.49,0.0
2019-06-30,65.68,$-13.16,0.0
2019-03-31,52.84,$-12.26,0.0
2018-12-31,42.46,$-10.05,0.0
2018-09-30,48.42,$-4.76,0.0
2018-06-30,52.66,$4.13,12.74
2018-03-31,70.98,$2.18,32.53
2017-12-31,67.52,$7.92,8.52
2017-09-30,45.88,$7.67,5.98
2017-06-30,39.88,$1.86,21.42
2017-03-31,27.1,$3.10,8.73
2016-12-31,32.09,$-0.22,0.0
2016-09-30,39.49,$-1.71,0.0
2016-06-30,48.48,$-0.67,0.0
2016-03-31,68.47,$0.27,255.2
2015-12-31,65.99,$-4.83,0.0
2015-09-30,42.75,$3.55,12.05
2015-06-30,46.98,$2.57,18.29
2015-03-31,59.79,$3.54,16.87
2014-12-31,44.6,$4.70,9.48
2014-09-30,65.81,$-1.38,0.0
2014-06-30,71.06,$2.70,26.27
2014-03-31,69.79,$3.66,19.06
2013-12-31,54.64,$7.23,7.56
2013-09-30,40.21,$7.74,5.2
2013-06-30,44.81,$4.43,10.12
2013-03-31,26.96,$6.04,4.47
2012-12-31,30.86,$4.47,6.91
2012-09-30,22.15,$-0.25,0.0
2012-06-30,15.06,$-0.09,0.0
2012-03-31,25.05,$-8.07,0.0
2011-12-31,33.76,$-8.88,0.0
2011-09-30,63.21,$-5.96,0.0
2011-06-30,132.27,$-4.43,0.0
2011-03-31,160.84,$-0.23,0.0
2010-12-31,130.14,$1.35,96.55
2010-09-30,147.35,$3.81,38.67
2010-06-30,113.83,$3.86,29.5
2010-03-31,122.65,$4.05,30.25
2009-12-31,135.4,$4.65,29.13
