Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,50.95,,0.0
2024-03-31,49.92,$-3.64,0.0
2023-12-31,50.32,$-3.90,0.0
2023-09-30,47.08,$-4.80,0.0
2023-06-30,50.57,$-4.35,0.0
2023-03-31,51.04,$-4.70,0.0
2022-12-31,52.33,$-3.97,0.0
2022-09-30,49.82,$-2.74,0.0
2022-06-30,54.71,$-2.51,0.0
2022-03-31,57.92,$0.82,70.48
2021-12-31,56.58,$-0.19,0.0
2021-09-30,51.16,$-0.26,0.0
2021-06-30,50.61,$-0.47,0.0
2020-12-31,46.06,$-3.48,0.0
2020-09-30,45.85,$-5.91,0.0
2020-06-30,42.17,$-5.26,0.0
2020-03-31,42.24,$-5.18,0.0
2019-12-31,47.56,$-5.51,0.0
2021-03-31,48.81,$-2.70,0.0
2019-09-30,46.56,$-4.18,0.0
2019-06-30,42.08,$-4.56,0.0
2019-03-31,40.1,$-4.82,0.0
2018-12-31,35.65,$-4.73,0.0
2018-09-30,35.65,$-4.44,0.0
2018-06-30,35.16,$-4.00,0.0
2018-03-31,33.69,$-4.22,0.0
2017-12-31,34.83,$-4.12,0.0
2017-09-30,33.73,$-5.54,0.0
2017-06-30,32.35,$-5.72,0.0
2017-03-31,31.64,$-4.25,0.0
2016-12-31,30.01,$-3.54,0.0
2016-09-30,30.11,$-1.37,0.0
2016-06-30,30.97,$-0.38,0.0
2016-03-31,28.73,$-0.46,0.0
2015-12-31,23.93,$-0.10,0.0
2015-09-30,22.2,$0.12,179.65
2015-06-30,21.71,$0.22,99.38
2015-03-31,23.49,$0.00,0.0
2014-12-31,24.57,$0.24,103.38
2014-09-30,20.33,$0.26,78.73
2014-06-30,22.14,$0.01,0.0
2014-03-31,20.48,$0.40,51.17
2013-12-31,18.42,$-0.00,0.0
2013-09-30,17.53,$-1.14,0.0
2013-06-30,17.68,$-0.54,0.0
2013-03-31,17.44,$-1.11,0.0
2012-12-31,15.11,$-0.83,0.0
2012-09-30,14.78,$0.68,21.88
2012-06-30,15.37,$-0.08,0.0
2012-03-31,14.47,$0.70,20.6
2011-12-31,14.58,$0.43,34.12
2011-09-30,12.65,$0.80,15.9
2011-06-30,13.16,$0.84,15.66
2011-03-31,12.46,$0.98,12.7
2010-12-31,11.63,$0.69,16.97
2010-09-30,11.38,$-0.34,0.0
2010-06-30,9.82,$-1.09,0.0
2010-03-31,10.17,$-2.26,0.0
2009-12-31,9.14,$-2.23,0.0
