Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,251.2,,22.26
2024-03-31,291.47,$11.28,25.83
2023-12-31,258.47,$16.99,15.21
2023-09-30,202.55,$18.47,10.97
2023-06-30,224.07,$9.02,24.84
2023-03-31,202.54,$13.87,14.61
2022-12-31,224.41,$12.02,18.67
2022-09-30,214.31,$3.52,60.85
2022-06-30,209.73,$12.57,16.69
2022-03-31,190.96,$7.92,24.12
2021-12-31,177.71,$10.65,16.69
2021-09-30,182.57,$18.34,9.95
2021-06-30,198.19,$15.43,12.85
2021-03-31,192.57,$17.88,10.77
2020-12-31,158.49,$18.23,8.7
2020-09-30,129.96,$15.96,8.14
2020-06-30,160.04,$18.17,8.81
2020-03-31,166.27,$11.16,14.9
2019-12-31,227.84,$8.84,25.77
2019-09-30,191.56,$10.69,17.92
2019-06-30,202.43,$0.01,13864.93
2019-03-31,185.85,$7.13,26.06
2018-12-31,170.02,$10.59,16.05
2018-09-30,228.78,$5.54,41.33
2018-06-30,193.1,$10.57,18.26
2018-03-31,228.87,$9.84,23.26
2017-12-31,208.71,$9.63,21.68
2017-09-30,199.9,$7.88,25.36
2017-06-30,163.87,$11.70,14.0
2017-03-31,175.72,$11.97,14.69
2016-12-31,161.19,$11.46,14.06
2016-09-30,133.82,$13.99,9.57
2016-06-30,146.12,$14.33,10.2
2016-03-31,118.69,$14.50,8.18
2015-12-31,109.53,$14.60,7.5
2015-09-30,92.18,$15.14,6.09
2015-06-30,96.5,$15.08,6.4
2015-03-31,119.74,$17.21,6.96
2014-12-31,95.81,$11.97,8.01
2014-09-30,88.46,$9.26,9.55
2014-06-30,80.14,$9.80,8.18
2014-03-31,86.47,$4.93,17.54
2013-12-31,75.96,$1.92,39.47
2013-09-30,56.74,$3.25,17.46
2013-06-30,47.48,$0.35,134.87
2013-03-31,44.75,$2.79,16.03
2012-12-31,36.28,$3.39,10.69
2012-09-30,35.12,$5.47,6.42
2012-06-30,33.61,$7.35,4.57
2012-03-31,33.61,$8.34,4.03
2011-12-31,26.12,$6.78,3.85
