Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data,Lamb Weston Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,84.95,,0.0
2024-02-29,101.78,$-2.51,0.0
2023-11-30,99.27,$-1.26,0.0
2023-05-31,109.72,$0.18,619.9
2023-02-28,99.05,$-0.55,0.0
2022-11-30,85.28,$0.89,95.67
2022-08-31,77.83,$0.49,159.15
2022-05-31,65.93,$-0.16,0.0
2023-08-31,96.38,$-0.16,0.0
2022-02-28,64.56,$0.46,139.86
2021-11-30,50.27,$1.25,40.18
2021-08-31,62.81,$1.73,36.23
2021-05-31,79.24,$2.65,29.93
2021-02-28,76.4,$2.38,32.11
2020-11-30,69.11,$2.67,25.88
2020-08-31,59.81,$2.68,22.29
2020-05-31,56.95,$2.49,22.91
2020-02-29,82.05,$2.93,28.05
2019-11-30,79.1,$2.96,26.73
2019-08-31,66.13,$2.66,24.88
2019-05-31,55.5,$2.34,23.76
2019-02-28,64.73,$1.80,35.87
2018-11-30,71.43,$1.99,35.94
2018-08-31,62.8,$1.88,33.45
2018-05-31,59.07,$1.19,49.79
2018-02-28,49.97,$1.46,34.34
2017-11-30,50.06,$1.03,48.61
2017-08-31,41.72,$1.35,30.81
