Newmont Price to Free Cash Flow Ratio Historical Data,Newmont Price to Free Cash Flow Ratio Historical Data,Newmont Price to Free Cash Flow Ratio Historical Data,Newmont Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,42.26,,392.39
2024-03-31,35.84,$0.11,332.78
2023-12-31,41.08,$0.12,356.32
2023-09-30,36.32,$0.96,37.76
2023-06-30,41.5,$0.39,106.43
2023-03-31,47.22,$0.99,47.72
2022-12-31,45.04,$1.37,32.88
2022-09-30,39.64,$1.98,20.02
2022-06-30,55.56,$2.99,18.59
2022-03-31,73.38,$3.05,24.05
2021-12-31,56.87,$3.28,17.35
2021-09-30,49.31,$3.81,12.95
2021-06-30,57.01,$4.48,12.72
2021-03-31,53.8,$4.24,12.69
2020-12-31,52.94,$4.44,11.92
2020-09-30,55.71,$3.98,13.99
2020-06-30,54.01,$2.79,19.35
2020-03-31,39.43,$2.01,19.65
2019-12-31,37.74,$1.90,19.82
2019-09-30,32.82,$1.64,19.96
2019-06-30,33.17,$1.51,22.0
2019-03-31,29.96,$2.07,14.45
2018-12-31,28.9,$1.49,19.45
2018-09-30,25.08,$1.42,17.62
2018-06-30,31.17,$1.68,18.51
2018-03-31,32.18,$2.05,15.68
2017-12-31,30.79,$2.35,13.09
2017-09-30,30.72,$2.15,14.28
2017-06-30,26.47,$2.71,9.77
2017-03-31,26.9,$3.00,8.96
2016-12-31,27.77,$3.11,8.94
2016-09-30,31.97,$2.25,14.21
2016-06-30,31.81,$2.10,15.14
2016-03-31,21.6,$1.40,15.45
2015-12-31,14.6,$1.62,9.04
2015-09-30,13.03,$2.43,5.37
2015-06-30,18.91,$1.57,12.06
2015-03-31,17.56,$1.59,11.04
2014-12-31,15.27,$0.80,19.14
2014-09-30,18.6,$0.25,75.59
2014-06-30,20.5,$0.22,93.97
2014-03-31,18.87,$-0.67,0.0
2013-12-31,18.43,$-0.72,0.0
2013-09-30,22.29,$-0.68,0.0
2013-06-30,23.57,$-1.23,0.0
2013-03-31,32.64,$-1.66,0.0
2012-12-31,35.79,$-1.68,0.0
2012-09-30,42.84,$-1.90,0.0
2012-06-30,36.84,$-0.43,0.0
2012-03-31,38.66,$0.24,163.13
2011-12-31,44.97,$1.58,28.44
2011-09-30,46.92,$2.59,18.13
2011-06-30,40.04,$2.61,15.36
2011-03-31,40.34,$3.88,10.4
2010-12-31,45.28,$3.53,12.83
2010-09-30,46.18,$3.81,12.11
2010-06-30,45.28,$4.13,10.95
2010-03-31,37.29,$3.13,11.93
2009-12-31,34.57,$2.42,14.29
