Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,138.96,,16.57
2024-03-31,132.35,$8.38,15.79
2023-12-31,136.37,$7.65,17.84
2023-09-30,119.83,$5.17,23.17
2023-06-30,137.52,$7.58,18.13
2023-03-31,137.74,$7.40,18.62
2022-12-31,151.63,$11.14,13.62
2022-09-30,118.29,$11.90,9.94
2022-06-30,127.58,$12.50,10.21
2022-03-31,130.66,$12.97,10.08
2021-12-31,164.44,$14.30,11.5
2021-09-30,137.51,$14.80,9.29
2021-06-30,124.31,$16.50,7.54
2021-03-31,120.31,$15.23,7.9
2020-12-31,111.21,$11.67,9.53
2020-09-30,106.33,$10.15,10.48
2020-06-30,105.34,$6.00,17.56
2020-03-31,73.7,$5.74,12.85
2019-12-31,97.53,$6.20,15.73
2019-09-30,97.25,$5.90,16.47
2019-06-30,92.03,$6.76,13.62
2019-03-31,80.81,$6.78,11.91
2018-12-31,74.36,$5.88,12.65
2018-09-30,95.9,$6.56,14.61
2018-06-30,97.27,$6.39,15.22
2018-03-31,88.29,$6.27,14.08
2017-12-31,86.31,$6.59,13.09
2017-09-30,81.67,$6.44,12.68
2017-06-30,96.55,$6.00,16.1
2017-03-31,84.89,$6.15,13.8
2016-12-31,79.07,$5.80,13.64
2016-09-30,72.81,$5.45,13.35
2016-06-30,69.37,$4.87,14.26
2016-03-31,60.55,$4.61,13.13
2015-12-31,59.95,$3.85,15.58
2015-09-30,51.49,$4.14,12.44
2015-06-30,60.42,$4.20,14.39
2015-03-31,63.71,$4.25,15.0
2014-12-31,55.33,$4.39,12.61
2014-09-30,49.79,$3.72,13.39
2014-06-30,47.89,$3.48,13.76
2014-03-31,47.0,$2.87,16.35
2013-12-31,43.2,$2.75,15.7
2013-09-30,49.86,$3.92,12.71
2013-06-30,48.69,$5.16,9.44
2013-03-31,45.12,$5.45,8.28
2012-12-31,46.08,$6.28,7.34
2012-09-30,50.16,$6.08,8.25
2012-06-30,47.24,$5.79,8.15
2012-03-31,48.09,$4.66,10.33
2011-12-31,45.4,$4.59,9.9
2011-09-30,38.52,$4.23,9.11
2011-06-30,46.12,$4.05,11.4
2011-03-31,44.89,$4.81,9.34
2010-12-31,41.89,$5.15,8.14
2010-09-30,39.18,$5.33,7.35
2010-06-30,38.48,$5.41,7.11
2010-03-31,44.99,$4.29,10.48
2009-12-31,46.53,$4.42,10.52
