Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,136.64,,29.91
2024-03-31,151.86,$4.57,33.24
2023-12-31,140.25,$5.86,23.95
2023-09-30,127.65,$6.39,19.97
2023-06-30,153.77,$7.49,20.53
2023-03-31,151.91,$6.79,22.38
2022-12-31,133.6,$5.82,22.97
2022-09-30,121.21,$5.47,22.15
2022-06-30,132.02,$4.32,30.58
2022-03-31,129.17,$4.41,29.27
2021-12-31,160.93,$4.61,34.95
2021-09-30,151.76,$4.90,31.0
2021-06-30,163.83,$7.42,22.07
2021-03-31,174.64,$10.29,16.97
2020-12-31,181.88,$10.80,16.84
2020-09-30,188.32,$10.86,17.35
2020-06-30,195.62,$10.12,19.33
2020-03-31,153.64,$7.55,20.34
2019-12-31,135.24,$6.32,21.41
2019-09-30,132.83,$6.04,21.98
2019-06-30,133.06,$6.06,21.97
2019-03-31,138.58,$6.12,22.63
2018-12-31,132.28,$6.95,19.04
2018-09-30,128.27,$6.05,21.19
2018-06-30,114.53,$5.94,19.27
2018-03-31,111.79,$5.79,19.32
2017-12-31,124.18,$5.43,22.85
2017-09-30,109.41,$5.58,19.59
2017-06-30,109.81,$4.82,22.79
2017-03-31,110.47,$4.51,24.51
2016-12-31,97.69,$4.88,20.01
2016-09-30,101.21,$-0.20,0.0
2016-06-30,111.22,$1.53,72.75
2016-03-31,100.7,$0.90,111.48
2015-12-31,100.7,$-0.74,0.0
2015-06-30,81.5,$5.64,14.45
2015-03-31,85.91,$6.95,12.37
2014-12-31,80.55,$6.42,12.55
2014-09-30,73.68,$7.91,9.32
2014-06-30,69.55,$6.25,11.13
2015-09-30,91.15,$3.51,25.94
2014-03-31,66.45,$4.38,15.18
2013-12-31,69.47,$3.83,18.15
2013-09-30,60.72,$4.37,13.89
2013-06-30,61.27,$4.40,13.93
2013-03-31,64.78,$4.24,15.28
2012-12-31,53.13,$4.21,12.63
2012-09-30,51.83,$3.64,14.24
2012-06-30,51.67,$3.17,16.28
2012-03-31,48.61,$3.17,15.31
2011-12-31,46.65,$3.07,15.18
2011-09-30,46.08,$3.30,13.97
2011-06-30,46.47,$3.40,13.65
2011-03-31,47.9,$3.81,12.58
2010-12-31,42.88,$4.15,10.34
2010-09-30,44.88,$4.75,9.45
2010-06-30,41.44,$4.37,9.49
2010-03-31,42.43,$4.16,10.2
2009-12-31,40.01,$5.07,7.9
