TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,111.01,,30.1
2024-04-30,93.73,$3.69,25.41
2024-01-31,94.23,$3.74,25.19
2023-10-31,87.12,$3.97,21.93
2023-07-31,85.26,$3.90,21.84
2023-04-30,77.34,$0.91,85.45
2023-01-31,80.03,$1.22,65.75
2022-10-31,70.19,$-0.45,0.0
2022-07-31,59.26,$-0.04,0.0
2022-01-31,69.11,$1.65,41.77
2021-10-31,62.66,$5.10,12.29
2021-07-31,65.59,$3.70,17.74
2021-04-30,67.43,$6.01,11.22
2021-01-31,60.59,$9.27,6.54
2022-04-30,59.06,$2.37,24.94
2020-10-31,48.06,$4.76,10.09
2020-07-31,49.19,$1.96,25.06
2020-04-30,46.41,$-0.36,0.0
2020-01-31,55.66,$2.32,24.01
2019-10-31,54.13,$1.80,30.13
2019-07-31,51.23,$1.84,27.92
2019-04-30,51.31,$1.85,27.66
2019-01-31,46.31,$2.35,19.68
2018-10-31,50.98,$1.94,26.25
2018-07-31,44.94,$1.84,24.39
2018-04-30,39.03,$1.74,22.42
2018-01-31,36.8,$1.52,24.16
2017-10-31,31.83,$1.80,17.7
2017-07-31,31.92,$1.91,16.7
2017-04-30,35.56,$1.97,18.06
2017-01-31,33.77,$1.96,17.24
2016-10-31,33.12,$1.79,18.5
2016-07-31,36.58,$1.64,22.34
2016-04-30,33.83,$1.47,23.04
2016-01-31,31.69,$1.51,20.94
2015-10-31,32.46,$1.43,22.69
2015-07-31,30.87,$1.40,22.02
2015-04-30,28.45,$1.47,19.41
2015-01-31,28.99,$1.49,19.45
2014-10-31,27.76,$1.33,20.82
2014-07-31,23.29,$1.39,16.72
2014-04-30,25.35,$1.31,19.31
2014-01-31,24.93,$1.14,21.9
2013-10-31,26.36,$1.12,23.57
2013-07-31,22.51,$1.03,21.92
2013-04-30,21.03,$1.12,18.77
2013-01-31,19.44,$1.39,13.99
2012-10-31,17.86,$1.48,12.1
2012-07-31,18.95,$1.37,13.82
2012-04-30,17.8,$1.07,16.64
2012-01-31,14.5,$0.72,20.16
2011-10-31,12.5,$0.55,22.66
2011-07-31,11.69,$0.50,23.34
2011-04-30,11.29,$0.50,22.59
2011-01-31,9.95,$0.78,12.74
2010-10-31,9.6,$0.86,11.2
2010-07-31,8.66,$0.97,8.93
2010-04-30,9.63,$1.14,8.49
2010-01-31,7.88,$1.08,7.31
2009-10-31,7.72,$0.89,8.67
