Henry Schein Price to Free Cash Flow Ratio Historical Data,Henry Schein Price to Free Cash Flow Ratio Historical Data,Henry Schein Price to Free Cash Flow Ratio Historical Data,Henry Schein Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,67.26,,17.2
2024-03-31,75.52,$3.91,19.31
2023-12-31,75.71,$2.68,28.26
2023-09-30,74.25,$4.85,15.31
2023-06-30,81.1,$3.95,20.53
2023-03-31,81.54,$3.11,26.21
2022-12-31,79.87,$3.67,21.74
2022-09-30,65.77,$3.78,17.41
2022-06-30,76.74,$4.60,16.68
2022-03-31,87.19,$4.64,18.79
2021-12-31,77.53,$4.45,17.42
2021-09-30,76.16,$5.08,14.99
2021-06-30,74.19,$5.48,13.54
2021-03-31,69.24,$0.31,226.72
2020-12-31,66.86,$1.73,38.61
2020-09-30,58.78,$0.82,72.1
2020-06-30,58.39,$0.03,2131.02
2019-12-31,66.72,$3.87,17.23
2019-09-30,63.5,$5.71,11.13
2019-06-30,69.9,$4.65,15.03
2019-03-31,60.11,$4.67,12.86
2018-12-31,78.52,$6.76,11.61
2020-03-31,50.52,$2.61,19.35
2018-09-30,85.03,$3.68,23.09
2018-06-30,72.64,$3.39,21.43
2018-03-31,67.21,$2.94,22.84
2017-12-31,69.88,$3.05,22.88
2017-09-30,81.99,$3.05,26.86
2017-06-30,91.51,$3.32,27.57
2017-03-31,84.99,$3.60,23.57
2016-12-31,75.86,$3.50,21.7
2016-09-30,81.49,$3.86,21.09
2016-06-30,88.4,$3.41,25.95
2016-03-31,86.32,$2.93,29.41
2015-12-31,79.1,$3.23,24.47
2015-09-30,66.36,$3.77,17.62
2015-06-30,71.06,$4.28,16.61
2015-03-31,69.81,$2.73,25.59
2014-12-31,68.08,$4.42,15.42
2014-06-30,59.33,$2.84,20.88
2014-03-31,59.69,$3.30,18.08
2013-12-31,57.13,$3.45,16.58
2013-09-30,51.88,$3.01,17.21
2013-06-30,47.87,$2.61,18.35
2013-03-31,46.28,$2.04,22.67
2012-12-31,40.21,$1.99,20.24
2012-09-30,39.61,$2.41,16.41
2012-06-30,39.25,$2.46,15.94
2012-03-31,37.84,$2.21,17.12
2011-12-31,32.22,$2.75,11.71
2011-09-30,31.01,$2.42,12.8
2011-06-30,35.8,$2.20,16.26
2011-03-31,35.09,$2.05,17.14
2010-12-31,30.7,$1.91,16.06
2010-09-30,29.29,$1.73,16.9
2010-06-30,27.45,$2.23,12.33
2010-03-31,29.45,$2.20,13.36
2009-12-31,26.3,$1.91,13.75
2009-09-30,27.46,$2.49,11.02
