Regions Financial Price to Free Cash Flow Ratio Historical Data,Regions Financial Price to Free Cash Flow Ratio Historical Data,Regions Financial Price to Free Cash Flow Ratio Historical Data,Regions Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,18.93,,7.53
2024-03-31,21.04,$2.51,8.37
2023-12-31,19.13,$2.26,8.46
2023-09-30,16.75,$2.74,6.1
2023-06-30,17.13,$2.19,7.8
2023-03-31,17.64,$2.79,6.33
2022-12-31,20.29,$3.20,6.35
2022-09-30,18.71,$2.63,7.13
2022-06-30,17.32,$3.17,5.47
2022-03-31,20.41,$2.92,6.99
2021-12-31,19.83,$3.05,6.5
2021-09-30,19.24,$2.26,8.51
2021-06-30,18.07,$2.10,8.61
2021-03-31,18.37,$2.22,8.29
2020-12-31,14.23,$2.28,6.25
2020-09-30,10.08,$2.75,3.67
2020-06-30,9.59,$2.78,3.46
2020-03-31,7.64,$2.65,2.88
2019-12-31,14.46,$2.41,6.01
2019-09-30,13.21,$2.86,4.62
2019-06-30,12.35,$2.66,4.64
2019-03-31,11.58,$2.37,4.89
2018-12-31,10.85,$1.93,5.63
2018-09-30,14.74,$1.22,12.05
2018-06-30,14.19,$1.72,8.23
2018-03-31,14.75,$1.88,7.86
2017-12-31,13.66,$2.09,6.53
2017-09-30,11.98,$2.36,5.08
2017-03-31,11.29,$1.64,6.9
2016-12-31,11.11,$1.62,6.88
2016-09-30,7.6,$1.32,5.74
2016-06-30,6.51,$0.87,7.46
2016-03-31,5.97,$1.05,5.7
2015-12-31,7.24,$0.73,9.97
2017-06-30,11.43,$0.91,12.52
2015-09-30,6.75,$1.29,5.24
2015-06-30,7.72,$1.32,5.85
2015-03-31,7.0,$1.26,5.54
2014-12-31,7.78,$1.34,5.79
2014-09-30,7.36,$1.35,5.47
2014-06-30,7.75,$1.51,5.12
2014-03-31,8.07,$2.03,3.98
2013-12-31,7.16,$2.52,2.84
2013-09-30,6.69,$2.31,2.9
2013-06-30,6.86,$2.43,2.82
2013-03-31,5.87,$1.84,3.19
2012-12-31,5.11,$1.63,3.13
2012-09-30,5.15,$1.56,3.29
2012-06-30,4.82,$2.14,2.25
2012-03-31,4.7,$3.14,1.5
2011-12-31,3.06,$3.62,0.85
2011-09-30,2.37,$4.26,0.55
2011-06-30,4.39,$3.17,1.38
2011-03-31,5.14,$2.91,1.76
2010-12-31,4.94,$3.29,1.5
2010-09-30,5.13,$2.26,2.26
2010-06-30,4.63,$1.87,2.48
2010-03-31,5.52,$4.26,1.3
2009-12-31,3.72,$1.82,2.04
