Elevance Health Price to Free Cash Flow Ratio Historical Data,Elevance Health Price to Free Cash Flow Ratio Historical Data,Elevance Health Price to Free Cash Flow Ratio Historical Data,Elevance Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,534.42,,53.34
2024-03-31,516.97,$10.02,51.6
2023-12-31,468.61,$28.50,16.44
2023-09-30,431.37,$34.97,12.33
2023-06-30,438.72,$44.25,9.92
2023-03-31,452.6,$46.22,9.79
2022-12-31,503.31,$29.85,16.86
2022-09-30,444.6,$42.74,10.4
2022-06-30,471.11,$32.79,14.37
2022-03-31,478.28,$29.57,16.17
2021-12-31,450.09,$29.49,15.26
2021-09-30,360.97,$38.06,9.48
2021-06-30,368.56,$23.26,15.85
2021-03-31,345.49,$38.27,9.03
2020-12-31,308.01,$38.01,8.1
2020-09-30,256.89,$27.85,9.22
2020-06-30,250.63,$38.85,6.45
2020-03-31,215.68,$22.84,9.44
2019-12-31,285.91,$19.15,14.93
2019-09-30,226.65,$16.00,14.17
2019-06-30,265.56,$11.51,23.07
2019-03-31,269.27,$7.64,35.26
2018-12-31,245.78,$9.91,24.79
2018-09-30,256.46,$3.38,75.93
2018-06-30,222.14,$10.79,20.59
2018-03-31,204.37,$10.80,18.92
2017-12-31,208.62,$12.67,16.46
2017-09-30,175.51,$19.03,9.22
2017-06-30,173.26,$13.68,12.66
2017-03-31,151.78,$14.84,10.23
2016-12-31,131.43,$10.02,13.12
2016-09-30,114.05,$12.46,9.15
2016-06-30,118.92,$10.40,11.44
2016-03-31,125.24,$12.30,10.18
2015-12-31,125.03,$13.22,9.45
2015-09-30,124.95,$10.63,11.75
2015-06-30,145.87,$11.40,12.79
2015-03-31,136.69,$10.88,12.56
2014-12-31,110.78,$9.59,11.55
2014-09-30,105.09,$9.60,10.95
2014-06-30,94.19,$11.96,7.87
2014-03-31,86.77,$9.55,9.09
2013-12-31,80.15,$8.05,9.96
2013-09-30,72.23,$9.56,7.56
2013-06-30,70.4,$5.92,11.89
2013-03-31,56.69,$6.31,8.99
2012-12-31,51.84,$6.77,7.65
2012-09-30,49.11,$4.55,10.78
2012-06-30,53.74,$7.89,6.82
2012-03-31,61.91,$8.40,7.37
2011-12-31,55.33,$7.83,7.07
2011-09-30,54.32,$9.35,5.81
2011-06-30,65.29,$7.53,8.67
2011-03-31,57.66,$5.98,9.64
2010-12-31,46.8,$2.32,20.14
2010-09-30,46.62,$1.05,44.61
2010-06-30,40.28,$1.96,20.55
2010-03-31,52.99,$2.30,23.06
2009-12-31,47.98,$5.54,8.66
