D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,142.39,,21.51
2024-03-31,164.2,$6.62,24.81
2023-12-31,151.35,$10.52,14.39
2023-09-30,106.77,$14.16,7.54
2023-06-30,120.66,$8.84,13.66
2023-03-31,96.64,$4.61,20.95
2022-09-30,66.27,$1.17,56.85
2022-06-30,64.93,$-0.47,0.0
2022-03-31,72.86,$-0.82,0.0
2021-12-31,105.76,$1.14,93.12
2021-09-30,81.71,$0.83,98.13
2021-06-30,87.75,$1.47,59.89
2021-03-31,86.37,$3.67,23.5
2020-12-31,66.63,$2.90,22.99
2020-09-30,72.91,$3.42,21.34
2020-06-30,53.32,$3.34,15.97
2020-03-31,32.58,$2.26,14.41
2019-12-31,50.4,$2.83,17.78
2019-09-30,50.2,$2.15,23.34
2019-06-30,40.95,$0.80,51.26
2019-03-31,39.15,$0.37,106.4
2018-12-31,32.67,$1.03,31.58
2018-09-30,39.59,$1.83,21.69
2018-06-30,38.37,$2.70,14.2
2018-03-31,40.91,$1.45,28.15
2017-12-31,47.53,$0.63,75.01
2017-09-30,37.07,$0.75,49.65
2017-06-30,32.0,$0.61,52.53
2017-03-31,30.74,$0.96,32.02
2016-12-31,25.14,$1.36,18.51
2016-09-30,27.68,$1.43,19.31
2016-06-30,28.78,$1.56,18.41
2016-03-31,27.57,$2.38,11.58
2015-12-31,29.12,$2.22,13.13
2015-09-30,26.62,$1.89,14.06
2015-06-30,24.76,$0.01,2380.43
2015-03-31,25.71,$-1.78,0.0
2014-12-31,22.77,$-2.39,0.0
2014-09-30,18.43,$-2.08,0.0
2014-06-30,22.01,$0.56,39.47
2014-03-31,19.36,$1.13,17.14
2013-12-31,19.92,$1.02,19.48
2022-12-31,87.96,$0.57,155.19
2013-09-30,17.34,$-3.53,0.0
2013-06-30,18.99,$-3.58,0.0
2013-03-31,21.69,$-3.01,0.0
2012-12-31,17.65,$-2.74,0.0
2012-09-30,18.23,$-0.91,0.0
2012-06-30,16.21,$-0.27,0.0
2012-03-31,13.35,$-0.17,0.0
2011-12-31,11.07,$-0.15,0.0
2011-09-30,7.91,$0.01,0.0
2011-06-30,10.04,$0.10,101.2
2011-03-31,10.12,$0.76,13.35
2010-12-31,10.33,$1.70,6.08
2010-09-30,9.6,$2.17,4.43
2010-06-30,8.45,$1.91,4.41
2010-03-31,10.8,$1.83,5.92
2009-12-31,9.29,$4.19,2.22
