Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,33.21,,21.64
2024-03-31,36.48,$1.53,23.77
2023-12-31,36.14,$1.68,21.54
2023-09-30,32.5,$1.21,26.81
2023-06-30,33.89,$0.67,50.92
2022-12-31,38.06,$1.26,30.26
2022-09-30,30.86,$4.15,7.44
2022-06-30,34.93,$3.89,8.97
2022-03-31,35.69,$3.96,9.02
2021-12-31,32.19,$4.59,7.02
2023-03-31,36.53,$1.63,22.41
2021-09-30,32.64,$2.60,12.57
2021-06-30,35.75,$3.23,11.06
2021-03-31,34.75,$3.94,8.83
2020-12-31,29.8,$3.53,8.45
2020-09-30,25.44,$1.97,12.9
2020-06-30,26.78,$2.63,10.17
2020-03-31,20.5,$2.30,8.93
2019-12-31,26.11,$2.27,11.48
2019-09-30,22.41,$3.90,5.74
2019-06-30,24.51,$2.87,8.54
2019-03-31,25.41,$1.34,18.92
2018-12-31,33.08,$1.45,22.84
2018-09-30,41.86,$0.44,95.32
2018-06-30,47.22,$-0.04,0.0
2018-03-31,46.32,$0.39,119.94
2017-12-31,57.29,$-0.56,0.0
2017-09-30,56.69,$0.22,252.76
2017-06-30,62.16,$-0.86,0.0
2017-03-31,65.47,$-0.45,0.0
2016-12-31,62.55,$0.81,77.22
2016-09-30,63.65,$0.17,366.84
2016-06-30,62.49,$1.30,48.23
