Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,78.46,,0.0
2024-03-31,71.1,$-0.85,0.0
2023-12-31,68.77,$-1.26,0.0
2023-09-30,62.84,$-1.51,0.0
2023-06-30,67.51,$-2.49,0.0
2023-03-31,66.24,$-2.31,0.0
2022-12-31,67.29,$-1.25,0.0
2022-09-30,63.42,$-0.82,0.0
2022-06-30,65.93,$0.41,160.58
2022-03-31,66.43,$0.19,353.73
2021-12-31,62.19,$-0.47,0.0
2021-09-30,55.6,$-0.56,0.0
2021-06-30,53.75,$-0.81,0.0
2021-03-31,54.66,$-0.50,0.0
2020-12-31,53.45,$0.21,255.25
2020-09-30,46.71,$-0.29,0.0
2020-06-30,44.14,$-0.06,0.0
2020-03-31,45.53,$0.13,349.99
2019-12-31,53.1,$3.18,16.72
2019-09-30,50.98,$3.62,14.09
2019-06-30,45.14,$5.75,7.85
2019-03-31,41.72,$5.33,7.83
2018-12-31,35.02,$1.85,18.89
2018-09-30,34.33,$1.49,22.99
2018-06-30,36.0,$-0.40,0.0
2018-03-31,34.24,$-0.53,0.0
2017-12-31,36.39,$-0.92,0.0
2017-09-30,36.76,$-1.45,0.0
2017-06-30,35.39,$-1.66,0.0
2017-03-31,36.37,$-1.96,0.0
2016-12-31,35.53,$-2.51,0.0
2016-09-30,36.62,$-2.08,0.0
2016-06-30,37.88,$-0.63,0.0
2016-03-31,36.13,$-0.22,0.0
2015-12-31,32.32,$0.66,49.23
2015-09-30,30.5,$1.52,20.12
2015-06-30,28.25,$1.18,23.97
2015-03-31,29.49,$0.52,57.08
2014-12-31,32.34,$0.63,51.21
2014-09-30,28.42,$1.10,25.93
2014-06-30,29.2,$0.77,38.06
2014-03-31,27.95,$1.16,24.11
2013-12-31,25.82,$0.72,35.89
2013-09-30,25.55,$0.04,602.63
2013-06-30,27.07,$0.04,637.0
2013-03-31,28.48,$0.33,85.88
2012-12-31,25.7,$0.10,253.69
2012-09-30,27.38,$0.41,66.35
2012-06-30,27.22,$0.59,46.18
2012-03-31,26.13,$0.93,28.23
2011-12-31,26.64,$1.59,16.7
2011-09-30,24.12,$0.86,28.07
2011-06-30,22.71,$0.84,27.14
2011-03-31,21.18,$0.18,115.86
2010-12-31,20.99,$-0.11,0.0
2010-09-30,20.21,$-0.25,0.0
2010-06-30,17.83,$-0.68,0.0
2010-03-31,17.53,$-1.05,0.0
2009-12-31,17.38,$-1.61,0.0
