West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,332.76,,64.79
2024-03-31,395.51,$5.14,77.0
2023-12-31,351.75,$5.50,63.9
2023-09-30,374.82,$5.56,67.41
2023-06-30,381.88,$5.25,72.81
2023-03-31,345.75,$5.41,63.88
2022-12-31,234.69,$5.80,40.49
2022-09-30,245.18,$5.10,48.06
2022-06-30,301.08,$5.27,57.17
2022-03-31,408.77,$5.01,81.62
2021-12-31,466.56,$4.33,107.68
2021-09-30,422.14,$4.44,95.05
2021-06-30,356.91,$3.74,95.52
2021-03-31,279.91,$4.05,69.11
2020-12-31,281.27,$3.93,71.52
2020-09-30,272.76,$3.65,74.78
2020-06-30,225.27,$3.72,60.52
2020-03-31,150.83,$3.28,46.05
2019-12-31,148.77,$3.19,46.59
2019-09-30,140.19,$2.86,49.05
2019-06-30,123.56,$2.66,46.43
2019-03-31,108.66,$2.46,44.11
2018-12-31,96.52,$2.44,39.57
2018-09-30,121.41,$2.55,47.68
2018-06-30,97.49,$2.28,42.68
2018-03-31,86.56,$2.20,39.39
2017-12-31,96.6,$1.75,55.26
2017-09-30,94.1,$1.38,67.96
2017-06-30,92.27,$1.10,83.81
2017-03-31,79.54,$0.92,86.69
2016-12-31,82.55,$0.66,125.84
2016-09-30,72.37,$0.65,111.77
2016-06-30,73.6,$0.91,80.57
2016-03-31,67.12,$1.05,63.94
2015-12-31,58.19,$1.09,53.14
2015-09-30,52.18,$1.04,50.31
2015-06-30,55.9,$0.99,56.22
2015-03-31,57.83,$0.85,67.94
2014-12-31,51.03,$0.98,52.32
2014-09-30,42.8,$1.14,37.61
2014-06-30,40.23,$0.99,40.78
2014-03-31,41.92,$1.25,33.46
2013-12-31,46.59,$0.96,48.49
2013-09-30,39.0,$1.05,37.31
2013-06-30,33.21,$1.03,32.12
2013-03-31,30.6,$0.42,72.3
2012-12-31,25.71,$0.78,32.9
2012-09-30,24.83,$0.39,63.64
2012-06-30,23.54,$0.28,85.14
2012-03-31,19.74,$0.36,54.71
2011-12-31,17.53,$0.48,36.76
2011-09-30,17.06,$0.72,23.81
2011-06-30,20.04,$0.93,21.63
2011-03-31,20.43,$0.87,23.59
2010-12-31,18.72,$0.92,20.45
2010-09-30,15.52,$0.90,17.34
2010-06-30,16.43,$0.63,25.99
2010-03-31,18.82,$0.75,25.16
2009-12-31,17.51,$0.45,38.76
