3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,102.39,,11.84
2024-03-31,88.52,$8.65,10.23
2023-12-31,89.77,$9.36,9.59
2023-09-30,75.69,$9.16,8.27
2023-06-30,79.72,$8.23,9.69
2023-03-31,82.48,$7.45,11.06
2022-12-31,92.86,$7.12,13.04
2022-09-30,84.57,$6.87,12.31
2022-06-30,98.04,$7.55,12.98
2022-03-31,111.66,$8.80,12.69
2021-12-31,131.9,$10.08,13.08
2021-09-30,129.19,$11.35,11.38
2021-06-30,145.17,$12.36,11.75
2021-03-31,139.8,$12.45,11.22
2020-12-31,125.77,$11.58,10.86
2020-09-30,114.28,$10.92,10.47
2020-06-30,110.29,$10.32,10.69
2020-03-31,95.55,$9.80,9.75
2019-12-31,122.36,$9.39,13.03
2019-09-30,113.04,$9.32,12.13
2019-06-30,118.1,$9.32,12.67
2019-03-31,140.35,$1.61,87.38
2018-12-31,127.8,$2.83,45.24
2018-09-30,140.37,$2.13,66.02
2018-06-30,130.18,$1.28,101.37
2017-12-31,153.81,$8.02,19.17
2017-09-30,136.48,$14.38,9.49
2017-06-30,134.58,$11.92,11.29
2017-03-31,122.94,$12.25,10.04
2016-12-31,114.01,$12.65,9.01
2018-03-31,144.29,$5.51,26.2
2016-09-30,111.79,$8.58,13.02
2016-06-30,110.41,$8.18,13.49
2016-03-31,104.36,$8.16,12.78
2015-12-31,93.66,$7.83,11.96
2015-09-30,87.58,$7.44,11.77
2015-06-30,94.65,$7.50,12.62
2015-03-31,100.55,$7.99,12.58
2014-12-31,99.54,$7.96,12.51
2014-09-30,85.37,$7.55,11.31
2014-06-30,85.8,$6.56,13.07
2014-03-31,80.77,$6.39,12.64
2013-12-31,82.96,$6.17,13.44
2013-09-30,70.29,$5.82,12.08
2013-06-30,64.01,$6.02,10.63
2013-03-31,61.87,$5.64,10.96
2012-12-31,53.71,$5.48,9.79
2012-09-30,53.11,$5.44,9.77
2012-06-30,51.16,$5.50,9.29
2012-03-31,50.59,$5.62,9.0
2011-12-31,46.03,$5.51,8.36
2011-09-30,40.15,$5.31,7.56
2011-06-30,52.69,$5.35,9.85
2011-03-31,51.64,$5.07,10.18
2010-12-31,47.38,$5.66,8.37
2010-09-30,47.31,$5.25,9.01
2010-06-30,42.83,$5.90,7.26
2010-03-31,45.03,$6.43,7.0
2009-12-31,44.25,$5.82,7.61
