Campbell Soup Price to Free Cash Flow Ratio Historical Data,Campbell Soup Price to Free Cash Flow Ratio Historical Data,Campbell Soup Price to Free Cash Flow Ratio Historical Data,Campbell Soup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,45.27,,21.47
2024-04-30,45.71,$2.11,21.68
2024-01-31,44.25,$2.06,21.49
2023-10-31,39.73,$2.17,18.28
2023-07-31,44.64,$2.57,17.38
2023-04-30,52.48,$2.25,23.3
2023-01-31,49.86,$2.92,17.05
2022-10-31,50.46,$2.88,17.49
2022-07-31,46.7,$3.11,15.02
2022-04-30,44.35,$3.28,13.52
2022-01-31,41.1,$3.02,13.59
2021-10-31,36.91,$2.87,12.88
2021-07-31,40.04,$2.49,16.07
2021-04-30,43.37,$2.90,14.97
2021-01-31,43.37,$3.55,12.23
2020-10-31,41.75,$3.67,11.36
2020-07-31,44.02,$3.61,12.2
2020-04-30,44.08,$3.34,13.18
2020-01-31,42.36,$2.76,15.34
2019-10-31,40.24,$3.24,12.41
2019-07-31,35.66,$3.36,10.62
2019-04-30,33.09,$3.30,10.02
2019-01-31,30.03,$3.45,8.71
2018-10-31,31.71,$2.94,10.78
2018-07-31,34.35,$2.97,11.55
2018-04-30,33.96,$3.11,10.92
2018-01-31,38.45,$3.10,12.42
2017-10-31,38.84,$2.99,13.0
2017-07-31,42.99,$3.11,13.8
2017-04-30,46.5,$3.21,14.5
2017-01-31,49.98,$3.56,14.04
2016-10-31,43.39,$3.72,11.65
2016-07-31,49.4,$3.73,13.26
2016-04-30,48.73,$3.51,13.89
2016-01-31,44.33,$3.20,13.87
2015-10-31,39.67,$2.83,14.02
2015-07-31,38.28,$2.69,14.25
2015-04-30,34.48,$2.33,14.77
2015-01-31,35.04,$2.44,14.38
2014-10-31,33.6,$2.28,14.75
2014-07-31,31.41,$1.82,17.29
2014-04-30,34.12,$1.93,17.71
2014-01-31,30.7,$1.74,17.64
2013-10-31,31.48,$1.99,15.82
2013-07-31,34.34,$2.17,15.82
2013-04-30,33.83,$2.50,13.54
2013-01-31,26.76,$2.55,10.5
2012-10-31,25.1,$2.52,9.96
2012-07-31,23.37,$2.50,9.34
2012-04-30,23.67,$2.49,9.49
2012-01-31,21.99,$2.61,8.44
2011-10-31,22.87,$2.93,7.79
2011-07-31,22.53,$2.67,8.43
2011-04-30,22.7,$2.46,9.21
2011-01-31,22.88,$2.30,9.93
2010-10-31,24.09,$2.29,10.53
2010-07-31,23.67,$2.20,10.75
2010-04-30,23.46,$2.53,9.26
2010-01-31,21.5,$2.59,8.32
2009-10-31,20.45,$2.09,9.78
