News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,26.85,,19.85
2024-03-31,26.18,$1.35,19.36
2023-12-31,24.46,$1.34,18.22
2023-09-30,19.98,$1.05,19.01
2023-06-30,19.33,$1.14,16.98
2023-03-31,17.12,$0.89,19.33
2022-12-31,17.93,$1.00,18.02
2022-09-30,14.89,$-0.24,0.0
2022-06-30,15.26,$0.05,303.37
2022-03-31,21.69,$0.68,32.09
2021-12-31,21.75,$0.26,83.14
2021-06-30,25.01,$1.47,17.04
2021-03-31,24.68,$2.10,11.75
2020-12-31,17.37,$1.17,14.83
2020-09-30,13.55,$1.03,13.14
2020-06-30,11.39,$1.01,11.25
2021-09-30,22.94,$0.16,141.5
2020-03-31,8.62,$0.50,17.16
2019-12-31,13.46,$0.51,26.55
2019-09-30,13.25,$0.67,19.87
2019-06-30,12.75,$0.78,16.33
2019-03-31,11.76,$0.72,16.31
2018-12-31,10.73,$0.97,11.06
2018-09-30,12.47,$0.99,12.59
2018-06-30,14.53,$0.91,15.95
2018-03-31,14.82,$1.08,13.73
2017-12-31,15.11,$1.11,13.56
2017-09-30,12.36,$1.27,9.72
2017-06-30,12.67,$0.88,14.47
2017-03-31,12.03,$1.03,11.71
2016-12-31,10.52,$0.66,15.83
2016-09-30,12.83,$0.49,26.11
2016-06-30,10.34,$1.14,9.08
2016-03-31,11.63,$0.54,21.71
2015-12-31,12.06,$0.73,16.54
2015-09-30,11.4,$0.93,12.21
2015-06-30,13.07,$1.21,10.8
2015-03-31,14.35,$1.63,8.82
2014-12-31,14.06,$1.76,8.0
2014-09-30,14.65,$1.77,8.29
2014-06-30,16.07,$1.51,10.67
2014-03-31,15.43,$2.87,5.38
